Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
( ^zz++++=(MG)
mg ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
plays ^nns++++=plays
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
at ^in++++=at
the ^ati++++=the
national ^jj+atrb+++=national
level ^nn++++=level
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
second ^od++++=second
most ^ql+emph+++=most
populous ^nns+++??+=populous
state ^nn++++=state
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
estimated ^jj+atrb++xvbn+=estimated
population ^nn++++=population
of ^in++++=of
21 ^cd++++=21
million ^cd++++=million
people ^nns++++=people.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
location ^nn++++=location
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
strategic ^jj++++=strategic
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
proximity ^nn++++=proximity
to ^in++++=to
states ^nns++++=states
with ^in++++=with
high ^jj+atrb+++=high
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
incidence ^nn++++=incidence
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
and ^cc++++=and
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
increases ^vbz++++=increases
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
the ^ati++++=the
transmission ^nn++++=transmission
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
