Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
coronavirus ^nns+++??+=coronavirus
proteins ^nns+++??+=proteins
modulate ^vb++++=modulate
cellular ^jj+atrb+++=cellular
pathways ^nns+++??+=pathways,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
the ^ati++++=the
viral ^nn+++??+=viral
life ^nn++++=life
cycle ^nn++++=cycle
or ^cc++++=or
influencing ^jj+atrb++xvbg+=influencing
viral ^nn+++??+=viral
pathogenesis ^nns+++??+=pathogenesis,
, ^zz++++=EXTRAWORD
as ^in++++=as
summarized ^nn++++=summarized
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
interactions ^nns++++=interactions
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
between ^in++++=between
the ^ati++++=the
coronavirus ^nns+++??+=coronavirus
nsp1 ^nn+++??+=nsp1
protein ^nn++++=protein
and ^cc++++=and
the ^ati++++=the
cyclophilins ^nns+++??+=cyclophilins
Ppia ^np+++??+=PPIA,
, ^zz++++=EXTRAWORD
Ppig ^np+++??+=PPIG,
, ^zz++++=EXTRAWORD
Ppih ^np+++??+=PPIH,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
Fkbp1a ^np+++??+=FKBP1A
and ^cc++++=and
Fkbp1b ^np+++??+=FKBP1B,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
regulate ^vbi++++=regulate
the ^ati++++=the
Calcineurin ^np+++??+=Calcineurin/NFAT
pathway ^nn++++=pathway,
, ^zz++++=EXTRAWORD
a ^at++++=a
key ^jjb+atrb+++=key
mediator ^nn++++=mediator
in ^in++++=in
immune ^jj+atrb+++=immune
cell ^nn++++=cell
activation ^nn+++??+=activation
( ^zz++++=(Pfefferle
pfefferle ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
yeast ^nn++++=yeast
two ^cd++++=two-hybrid
- ^zz++++=EXTRAWORD
hybrid ^nn++++=EXTRAWORD
system ^nn++++=system
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
confirm ^vbi+vpub+++=confirm
these ^dt+dem+++=these
interactions ^nns++++=interactions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
further ^jjb+pred+++=further
shown ^vbd+vprv++xvbn+=shown
that ^tht+vcmp+++=that
inhibition ^nn++++=inhibition
of ^in++++=of
cyclophilins ^nns+++??+=cyclophilins
by ^in++++=by
cyclosporine ^nn+++??+=cyclosporine
A ^at++++=A
( ^zz++++=(CspA)
cspa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
suppressed ^jj+++xvbn+=suppressed
the ^ati++++=the
replication ^nn+++??+=replication
of ^in++++=of
various ^jj+atrb+++=various
coronaviruses ^nns+++??+=coronaviruses,
, ^zz++++=EXTRAWORD
including ^in++++=including
human ^jj+atrb+++=human
Sars ^np+++??+=SARS-CoV,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Cov ^np+++??+=CoV-229E,
- ^zz++++=EXTRAWORD
229e ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cov ^np+++??+=CoV-NL63,
- ^zz++++=EXTRAWORD
nl63 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
feline ^nn+++??+=feline
Cov ^np+++??+=CoV,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
avian ^nn+++??+=avian
infectious ^nns+++??+=infectious
bronchitis ^nn++++=bronchitis
virus ^nn++++=virus
( ^zz++++=(IBV).
ibv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
another ^dt++++=another
study ^nn++++=study
reported ^vbd+vpub++xvbn+=reported
an ^at++++=an
