Coronaviruses ^np+++??+=Coronaviruses
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
virological ^nn+++??+=virological
research ^nn++++=research
since ^in++++=since
the ^ati++++=the
mid ^jjb++++=mid-1960s.
- ^zz++++=EXTRAWORD
1960s ^cd+date+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Environmental ^jj+atrb+++=Environmental
contamination ^nn++++=contamination,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
result ^vb++++=result
from ^in++++=from
respiratory ^jj+atrb+++=respiratory
secretions ^nns+++??+=secretions
of ^in++++=of
patients ^nns++++=patients
infected ^vbd+++xvbn+=infected
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
a ^at++++=a
potential ^jj+atrb+++=potential
route ^nn++++=route
of ^in++++=of
transmission ^nn++++=transmission.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
underscores ^vbz+++??+=underscores
the ^ati++++=the
necessity ^nn++++=necessity
for ^in++++=for
strict ^jj+atrb+++=strict
adherence ^nn++++=adherence
to ^in++++=to
environmental ^jj++++=environmental
and ^cc++++=and
hand ^nn++++=hand
hygiene ^nn++++=hygiene
protocols ^nns++++=protocols.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
healthcare ^nn+++??+=healthcare
professionals ^nns++++=professionals
are ^vb+ber+aux++=are
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
a ^at++++=a
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
group ^nn++++=group
for ^in++++=for
sars ^np++++=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
