Transition ^nn++++=Transition
rates ^nns++++=rates
and ^cc++++=and
author ^nn++++=author
productivity ^nn++++=productivity
yield ^nn++++=yield
informative ^jj+atrb+++=informative
data ^nns++++=data;
; ^zz++++=EXTRAWORD
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
occasional ^jj+atrb+++=occasional
or ^cc+phrs+++=or
transient ^jj+atrb+++=transient
authors ^nns++++=authors
is ^vbz+bez+vrb++=is
lower ^jjr+pred+++=lower
in ^in++++=in
disciplines ^nns++++=disciplines
with ^in++++=with
well ^rb++++=well-established
- ^zz++++=EXTRAWORD
established ^vbd+vprv++xvbn+=EXTRAWORD
scientific ^jj+atrb+++=scientific
activity ^nn++++=activity.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
a ^at++++=a
high ^jj+atrb+++=high
transition ^nn++++=transition
rate ^nn++++=rate
may ^md+pos+++=may
indicate ^vb+vprv+++=indicate
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
stable ^jj+atrb+++=stable
research ^nn++++=research
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
could ^md+pos+++=could
also ^rb++splt++=also
reflect ^vb+vprv+++=reflect
the ^ati++++=the
involvement ^nn++++=involvement
of ^in++++=of
researchers ^nns+++??+=researchers
from ^in++++=from
other ^ap++++=other
scientific ^jj+atrb+++=scientific
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
a ^at++++=a
transience ^nn++++=transience
index ^nn++++=index
of ^in++++=of
70.81 ^cd++++=70.81%
% ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
highly ^rb+amp+++=highly
productive ^jj+atrb+++=productive
authors ^nns++++=authors
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
1.16 ^cd++++=1.16%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^nn++++=total.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
values ^nns++++=values
are ^vb+ber+vrb++=are
comparable ^jj+pred+++=comparable
to ^in++++=to
those ^dt+dem+++=those
reported ^jj+++xvbn+=reported
in ^in++++=in
a ^at++++=a
study ^nn++++=study
on ^in++++=on
obstetrics ^nns+++??+=obstetrics,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
found ^vbd+vprv++xvbn+=found
a ^at++++=a
transience ^nn++++=transience
index ^nn++++=index
of ^in++++=of
71.5 ^cd++++=71.5%
% ^zz++++=EXTRAWORD
and ^cc++++=and
1.33 ^cd++++=1.33%
% ^zz++++=EXTRAWORD
of ^in++++=of
highly ^rb+amp+++=highly
productive ^jj+atrb+++=productive
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
