Potential ^jj++++=Potential
risk ^vb++++=risk
factors ^nns++++=factors
influencing ^vwbg+++xvbg+=influencing
disease ^nn++++=disease
prognosis ^nn++++=prognosis
in ^in++++=in
patients ^nns++++=patients
infected ^vbd+++xvbn+=infected
with ^in++++=with
the ^ati++++=the
novel ^nn++++=novel
coronavirus ^nns+++??+=coronavirus
include ^vb++++=include
advanced ^jj+atrb++xvbn+=advanced
age ^nn++++=age,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
chronic ^jj++++=chronic
non ^&fw++++=non-communicable
- ^zz++++=EXTRAWORD
communicable ^nn+++??+=EXTRAWORD
diseases ^nns++++=diseases
such ^abl++++=such
as ^ql++++=as
hypertension ^vb+++??+=hypertension,
, ^zz++++=EXTRAWORD
diabetes ^nn++++=diabetes
mellitus ^nns+++??+=mellitus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cardiovascular ^nn+++??+=cardiovascular
diseases ^nns++++=diseases
[ ^zz++++=[5,6],
5,6 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
immune ^jj+atrb+++=immune
system ^nn++++=system
dysregulation ^nn++++=dysregulation
[ ^zz++++=[7].
7 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
