Only ^rb+down+++=Only
B ^zz++++=B.
. ^zz++++=EXTRAWORD
herreri ^jj+++??+=herreri
exhibited ^jj+++xvbn+=exhibited
a ^at++++=a
significant ^jj+atrb+++=significant
attraction ^nn++++=attraction
to ^in++++=to
the ^ati++++=the
black ^jj+atrb+++=black
box ^nn++++=box
containing ^vwbg+++xvbg+=containing
the ^ati++++=the
cockroach ^nn++++=cockroach
during ^in++++=during
the ^ati++++=the
first ^rb++++=first
5 ^zz++++=5-minute
- ^zz++++=EXTRAWORD
minute ^nn++++=EXTRAWORD
period ^nn++++=period
in ^in++++=in
the ^ati++++=the
still ^rb++++=still-air
- ^zz++++=EXTRAWORD
air ^nn++++=EXTRAWORD
olfactometer ^nn+++??+=olfactometer,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
this ^dt+dem+++=this
species ^nn++++=species
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
detect ^vb++++=detect
the ^ati++++=the
cockroach ^nn++++=cockroach
under ^in++++=under
still ^rb+atrb+++=still
air ^nn++++=air
conditions ^nns++++=conditions
at ^in++++=at
a ^at++++=a
distance ^nn++++=distance
of ^in++++=of
10 ^cd++++=10
cm ^nnu++++=cm
( ^zz++++=(78%,
78 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
arena ^nn++++=arena
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
all ^abn++++=all
three ^cd++++=three
species ^nn++++=species
showed ^vbd+vprv++xvbn+=showed
attraction ^nn++++=attraction
to ^in++++=to
cockroach ^nn++++=cockroach
odors ^nns+++??+=odors
after ^in++++=after
one ^cd1++++=one
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
that ^tht+jcmp+++=that
B ^zz++++=B.
. ^zz++++=EXTRAWORD
corredori ^nn+++??+=corredori
and ^cc++++=and
B ^zz++++=B.
. ^zz++++=EXTRAWORD
ferroae ^vb+++??+=ferroae
reached ^vbd+++xvbn+=reached
the ^ati++++=the
box ^nn++++=box
containing ^vwbg+++xvbg+=containing
the ^ati++++=the
cockroach ^nn++++=cockroach
by ^in++++=by
chance ^nn++++=chance
after ^in++++=after
an ^at++++=an
extended ^jj+atrb++xvbn+=extended
period ^nn++++=period
of ^in++++=of
exploration ^nn++++=exploration;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
notable ^jj+pred+++=notable
that ^tht+jcmp+++=that
all ^abn++++=all
tested ^jj+atrb++xvbn+=tested
bugs ^nns+++??+=bugs
remained ^vbd+++xvbn+=remained
near ^in+pl+++=near
the ^ati++++=the
box ^nn++++=box
after ^in++++=after
one ^cd1++++=one
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
short ^jj++++=short-range
- ^zz++++=EXTRAWORD
range ^nn++++=EXTRAWORD
attraction ^nn++++=attraction
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
proboscis ^nns+++??+=proboscis
extension ^nn++++=extension
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
observed ^vpsv++agls+xvbnx+=observed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bugs ^nn++++=bugs
attempted ^vbd+++xvbn+=attempted
to ^to+vcmp+++=to
climb ^vbi++++=climb
the ^ati++++=the
box ^nn++++=box,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
movements ^nns++++=movements
and ^cc++++=and
possibly ^rb++++=possibly
the ^ati++++=the
strong ^nn++++=strong
odors ^vbz+++??+=odors
emitted ^vpsv++by+xvbn+=emitted
by ^in++++=by
the ^ati++++=the
cockroach ^nn++++=cockroach
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
deter ^vbi++++=deter
close ^jj+atrb+++=close
contact ^nn++++=contact.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
avoidance ^nn++++=avoidance
behavior ^nn++++=behavior
in ^in++++=in
Belminus ^np+++??+=Belminus
warrants ^nns+++??+=warrants
further ^jjb+atrb+++=further
ethological ^nn+++??+=ethological
and ^cc++++=and
physiological ^jj+atrb+++=physiological
investigation ^nn++++=investigation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
observed ^jj+atrb++xvbn+=observed
difference ^nn++++=difference
between ^in++++=between
the ^ati++++=the
initial ^jj+atrb+++=initial
and ^cc+phrs+++=and
delayed ^jj+atrb++xvbn+=delayed
attraction ^nn++++=attraction
may ^md+pos+++=may
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
cockroaches ^nns+++??+=cockroaches
are ^vb+ber+vrb++=are
not ^xnot++not++=not
the ^ati++++=the
preferred ^jj+atrb++xvbn+=preferred
host ^nn++++=host
for ^in++++=for
these ^dt+dem+++=these
species ^nn++++=species,
, ^zz++++=EXTRAWORD
implying ^vbg+++xvbg+=implying
a ^at++++=a
greater ^jjr+atrb+++=greater
latency ^nn+++??+=latency
in ^in++++=in
their ^pp$+pp3+++=their
response ^nn++++=response
to ^in++++=to
cockroach ^nn++++=cockroach-derived
- ^zz++++=EXTRAWORD
derived ^xvbn+++xvbn+=EXTRAWORD
cues ^nns+++??+=cues.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
these ^dt+dem+++=these
Belminus ^np+++??+=Belminus
species ^nn++++=species
utilize ^vb++++=utilize
different ^jj+atrb+++=different
hosts ^nns++++=hosts
in ^in++++=in
their ^pp$+pp3+++=their
natural ^jj+atrb+++=natural
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
current ^jj+atrb+++=current
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
sylvatic ^nn+++??+=sylvatic
ecology ^nn+++??+=ecology
of ^in++++=of
Belminus ^np+++??+=Belminus
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited.
. ^zz++++=EXTRAWORD
For ^in++++=For
future ^jjb+atrb+++=future
research ^nn++++=research,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recommend ^vb+vsua+++=recommend
improving ^vbg+++xvbg+=improving
the ^ati++++=the
experimental ^jj+atrb+++=experimental
arenas ^nns+++??+=arenas
to ^to++++=to
isolate ^vbi++++=isolate
olfactory ^nn+++??+=olfactory
cues ^nns+++??+=cues
from ^in++++=from
visual ^jj+atrb+++=visual
stimuli ^nns++++=stimuli,
, ^zz++++=EXTRAWORD
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
olfaction ^nn+++??+=olfaction
alone ^rb++++=alone
is ^vbz+bez+vrb++=is
sufficient ^jj+pred+++=sufficient
to ^to+jcmp+++=to
elicit ^vbi++++=elicit
the ^ati++++=the
fixed ^jj+atrb++xvbn+=fixed
action ^nn++++=action
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
suggest ^vb+vpub+++=suggest
conducting ^nvbg+++xvbg+=conducting
field ^nn++++=field
studies ^nns++++=studies
to ^in++++=to
sample ^nn++++=sample
and ^cc++++=and
