Research ^nn++++=Research
has ^vbz+hvz+aux++=has
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
effective ^jj+atrb+++=effective
air ^nn++++=air
filtration ^nn++++=filtration
reduces ^vbz++++=reduces
the ^ati++++=the
transmission ^nn++++=transmission
of ^in++++=of
virus ^nn++++=virus
particles ^nns++++=particles,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
often ^rb++splt++=often
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
larger ^jjr+atrb+++=larger
particulate ^nn+++??+=particulate
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
into ^in++++=into
downstream ^rb+pl+++=downstream
environments ^nns++++=environments.
. ^zz++++=EXTRAWORD
High ^jj++++=High-efficiency
- ^zz++++=EXTRAWORD
efficiency ^nn++++=EXTRAWORD
filters ^nns+++??+=filters,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
properly ^rb++++=properly
installed ^vbd+++xvbn+=installed,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
removing ^xvbg+++xvbg+=removing
particles ^nns++++=particles
of ^in++++=of
relevant ^jj+atrb+++=relevant
sizes ^nns++++=sizes
according ^in+cmpx+++=according
to ^in"++++=to
their ^pp$+pp3+++=their
rated ^jj+atrb++xvbn+=rated
capture ^nn++++=capture
efficiency ^nn++++=efficiency.
. ^zz++++=EXTRAWORD
The ^ati++++=The
National ^jj+atrb+++=National
Air ^nn++++=Air
Filtration ^np+++??+=Filtration
Association ^nn++++=Association
( ^zz++++=(NAFA)
nafa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
indicated ^vprf+++xvbnx+=indicated
that ^tht+vcmp+++=that
appropriately ^rb++++=appropriately
sized ^jj++++=sized,
, ^zz++++=EXTRAWORD
maintained ^j+++xvbn+=maintained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
operated ^vbd+++xvbn+=operated
portable ^jj+atrb+++=portable
Hepa ^np+++??+=HEPA
filters ^nns+++??+=filters
can ^md+pos+++=can
provide ^vb+vsua+++=provide
measurable ^jj+atrb+++=measurable
benefits ^nns++++=benefits
in ^in++++=in
particle ^nn++++=particle
removal ^nn++++=removal.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
study ^nn++++=study
by ^in++++=by
the ^ati++++=the
National ^jj+atrb+++=National
Air ^nn++++=Air
Duct ^nn++++=Duct
Cleaners ^np+++??+=Cleaners
Association ^nn++++=Association
( ^zz++++=(NADCA)
nadca ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
recommends ^vbz+vsua+++=recommends
that ^tht+vcmp+++=that
Hvac ^np+++??+=HVAC
systems ^nns++++=systems
be ^vb+be+aux++=be
inspected ^vpsv++agls+xvbnx+=inspected
at ^rb++++=at
least ^rbt++++=least
twice ^rb++++=twice
annually ^rb++++=annually
to ^to++++=to
ensure ^vb+vprv+++=ensure
optimal ^jj+atrb+++=optimal
performance ^nn++++=performance.
. ^zz++++=EXTRAWORD
