Eighty ^cd++++=Eighty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
percent ^nnu++++=percent
of ^in++++=of
university ^nn++++=university
students ^nns++++=students
utilize ^vb++++=utilize
the ^ati++++=the
technological ^jj+atrb+++=technological
resources ^nns++++=resources
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
the ^ati++++=the
Unae ^np+++??+=UNAE
library ^nn++++=library,
, ^zz++++=EXTRAWORD
with ^in++++=with
11 ^cd++++=11%
% ^zz++++=EXTRAWORD
reporting ^vbg+++xvbg+=reporting
daily ^jj+atrb+++=daily
use ^nn++++=use,
, ^zz++++=EXTRAWORD
42 ^cd++++=42%
% ^zz++++=EXTRAWORD
using ^jj+++xvbg+=using
them ^pp3o+pp3+++=them
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
21 ^cd++++=21%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
month ^nn++++=month,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
26 ^cd++++=26%
% ^zz++++=EXTRAWORD
of ^in++++=of
university ^nn++++=university
students ^nns++++=students
access ^nn++++=access
digital ^jj+atrb+++=digital
databases ^nns+++??+=databases,
, ^zz++++=EXTRAWORD
with ^in++++=with
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=doing
so ^ql+emph+++=so
daily ^jj++++=daily,
, ^zz++++=EXTRAWORD
9 ^zz++++=9%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
9 ^zz++++=9%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
month ^nn++++=month,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
year ^nn++++=year.
. ^zz++++=EXTRAWORD
