Between ^in++++=Between
2005 ^cd++++=2005
and ^cc++++=and
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
a ^at++++=a
total ^nn++++=total
of ^in++++=of
5,274 ^cd++++=5,274
cases ^nns++++=cases
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
were ^vbd+bed+aux++=were
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
an ^at++++=an
annual ^jj+atrb+++=annual
average ^nn++++=average
of ^in++++=of
479 ^cd++++=479
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
of ^in++++=of
cases ^nns++++=cases
per ^in++++=per
year ^nn++++=year
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
a ^at++++=a
minimum ^nn++++=minimum
of ^in++++=of
341 ^cd++++=341
in ^in++++=in
2013 ^cd++++=2013
to ^in++++=to
a ^at++++=a
maximum ^nn++++=maximum
of ^in++++=of
982 ^cd++++=982
in ^in++++=in
2008 ^cd++++=2008.
. ^zz++++=EXTRAWORD
