Asymptomatic ^np+++??+=Asymptomatic
carotid ^jj+atrb+++=carotid
lesions ^nns+++??+=lesions
were ^vbd+bed+aux++=were
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
a ^at++++=a
private ^jj+atrb+++=private
hospital ^npl++++=hospital
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
the ^ati++++=the
capacity ^nn++++=capacity
to ^to+ncmp+++=to
perform ^vbi++++=perform
the ^ati++++=the
necessary ^jj+atrb+++=necessary
procedures ^nns++++=procedures
during ^in++++=during
this ^dt+dem+++=this
period ^nn++++=period.
. ^zz++++=EXTRAWORD
