Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
patients ^nns++++=patients
with ^in++++=with
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD)
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
are ^vb+ber+aux++=are
infected ^vpsv++agls+xvbnx+=infected
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
managed ^vpsv++agls+xvbnx+=managed
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
guidelines ^nns+++??+=guidelines.
. ^zz++++=EXTRAWORD
At ^rb++++=At
present ^vb++++=present,
, ^zz++++=EXTRAWORD
the ^ati++++=the
standard ^jj+atrb+++=standard
approach ^nn++++=approach
to ^in++++=to
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
management ^nn++++=management
is ^vbz+bez+vrb++=is
primarily ^rb+down+++=primarily
supportive ^nn+++??+=supportive
care ^nn++++=care.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
potential ^jj+atrb+++=potential
benefits ^nns++++=benefits
of ^in++++=of
antiviral ^nn+++??+=antiviral
agents ^nns++++=agents
such ^abl++++=such
as ^ql++++=as
chloroquine ^vb+++??+=chloroquine
derivatives ^nns++++=derivatives
or ^cc++++=or
remdesivir ^nn+++??+=remdesivir
are ^vb+ber+aux++=are
not ^xnot++not++=not
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
robust ^jj+atrb+++=robust
evidence ^nn++++=evidence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
data ^nns++++=data
on ^in++++=on
their ^pp$+pp3+++=their
interactions ^nns++++=interactions
with ^in++++=with
disease ^nn++++=disease-modifying
- ^zz++++=EXTRAWORD
modifying ^vbg+++xvbg+=EXTRAWORD
drugs ^nns++++=drugs
( ^zz++++=(DMDs)
dmds ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
insufficient ^jj+pred+++=insufficient,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
use ^nn++++=use
is ^vbz+bez+aux++=is
not ^xnot++not++=not
recommended ^vpsv++agls+xvbn+=recommended
in ^in++++=in
this ^dt+dem+++=this
patient ^nn++++=patient
population ^nn++++=population.
. ^zz++++=EXTRAWORD
