Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
from ^in++++=from
the ^ati++++=the
first ^od++++=first
phase ^nn++++=phase
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
April ^nr++++=April,
, ^zz++++=EXTRAWORD
countries ^nns++++=countries
without ^in++++=without
an ^at++++=an
active ^jj+atrb+++=active
Bcg ^np+++??+=BCG
vaccination ^nn++++=vaccination
program ^jj+++??+=program
exhibited ^jj+++xvbn+=exhibited,
, ^zz++++=EXTRAWORD
on ^in++++=on
average ^jj+atrb+++=average,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
ratios ^nns++++=ratios
in ^in++++=in
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lethality ^nn+++??+=lethality
rates ^nns++++=rates
by ^in++++=by
3.96 ^cd++++=3.96,
, ^zz++++=EXTRAWORD
9.34 ^cd++++=9.34,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2.35 ^cd++++=2.35,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.001 ^nn++++=0.001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
