The ^ati++++=The
author ^nn++++=author
wishes ^vb++++=wishes
to ^to+vcmp+++=to
acknowledge ^vbi+vpub+++=acknowledge
Jose ^np+++??+=Jose
Manuel ^np++++=Manuel
Mor ^np+++??+=Mor
n ^zz++++=n
Fa ^nn++++=Fa
ndes ^nns+++??+=ndes
and ^cc++++=and
Juan ^np++++=Juan
Marco ^np+++??+=Marco
Vaggione ^np++++=Vaggione
For ^in++++=for
Their ^pp$+pp3+++=their
Valuable ^jj+atrb+++=valuable
Contributions ^nns++++=contributions
To ^in++++=to
This ^dt+dem+++=this
Work ^nn++++=work.
 ^zz++++=EXTRAWORD
