It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
consider ^vbi+vprv+++=consider
the ^ati++++=the
food ^nn++++=food
and ^cc++++=and
nutritional ^jj+atrb+++=nutritional
requirements ^nns++++=requirements
of ^in++++=of
vulnerable ^jj+atrb+++=vulnerable
children ^nns++++=children
in ^in++++=in
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
any ^dti++++=any
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
national ^jj+atrb+++=national
response ^nn++++=response
to ^in++++=to
covid ^np++++=COVID-19.
- ^zz++++=EXTRAWORD
19. ^nn++++=EXTRAWORD
