Batelaan ^np+++??+=Batelaan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(31)
31 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
anxiety ^nn++++=anxiety
disorders ^nns++++=disorders
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
52 ^cd++++=52%
% ^zz++++=EXTRAWORD
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
cardiovascular ^nn+++??+=cardiovascular
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
severity ^nn++++=severity
of ^in++++=of
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
is ^vbz+bez+aux++=is
directly ^rb++splt++=directly
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
functional ^jj+atrb+++=functional
impairment ^nn+++??+=impairment
( ^zz++++=(32).
32 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
evidence ^nn++++=evidence
indicating ^vb+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
the ^ati++++=the
body ^nn++++=body
initiates ^nns+++??+=initiates
adaptive ^nn+++??+=adaptive
responses ^nns++++=responses
to ^to++++=to
maintain ^vbi+vpub+++=maintain
homeostasis ^nns+++??+=homeostasis,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
mediated ^nn+++??+=mediated
by ^in++++=by
neuroendocrine ^nn+++??+=neuroendocrine
and ^cc++++=and
neuronal ^nn+++??+=neuronal
mechanisms ^nns++++=mechanisms
involving ^vwbg+++xvbg+=involving
the ^ati++++=the
autonomic ^nn+++??+=autonomic
nervous ^jj+atrb+++=nervous
system ^nn++++=system
and ^cc++++=and
activation ^nn+++??+=activation
of ^in++++=of
the ^ati++++=the
hypothalamic ^nn+++??+=hypothalamic-pituitary-adrenal
- ^zz++++=EXTRAWORD
pituitary ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
adrenal ^nn+++??+=EXTRAWORD
( ^zz++++=(HPA)
hpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
axis ^nn++++=axis,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
release ^nn++++=release
of ^in++++=of
cortisol ^nn+++??+=cortisol.
. ^zz++++=EXTRAWORD
Dysregulation ^np+++??+=Dysregulation
of ^in++++=of
this ^dt+dem+++=this
axis ^nn++++=axis
can ^md+pos+++=can
alter ^vb++++=alter
the ^ati++++=the
physiological ^jj+atrb+++=physiological
response ^nn++++=response
to ^in++++=to
stress ^nn++++=stress,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^jj++++=contributing
to ^in++++=to
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
anxiety ^nn++++=anxiety
disorders ^nns++++=disorders
( ^zz++++=(33).
33 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
