Conidiophores ^np+++??+=Conidiophores
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
observed ^jj+++xvbn+=observed.
. ^zz++++=EXTRAWORD
Conidia ^np+++??+=Conidia
are ^vb+ber+aux++=are
produced ^vpsv++agls+xvbnx+=produced
in ^in++++=in
uniseriate ^nn+++??+=uniseriate
chains ^nns++++=chains
connected ^vwbn+++xvbn+=connected
by ^in++++=by
narrow ^jj+atrb+++=narrow
isthmi ^nn+++??+=isthmi;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
solitary ^jj+pred+++=solitary,
, ^zz++++=EXTRAWORD
hyaline ^nn+++??+=hyaline,
, ^zz++++=EXTRAWORD
four ^cd++++=four-celled,
- ^zz++++=EXTRAWORD
celled ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
measure ^nn++++=measure
54.5 ^cd++++=54.5
60 ^cd++++=60
3 ^zz++++=3
4 ^zz++++=4
m ^zz++++=m.
. ^zz++++=EXTRAWORD
