To ^in++++=To
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
represents ^vbz++++=represents
the ^ati++++=the
first ^od++++=first
survey ^vb++++=survey
to ^in++++=to
actively ^rb++++=actively
recruit ^vb++++=recruit
and ^cc++++=and
separately ^rb++++=separately
analyze ^vb+++??+=analyze
the ^ati++++=the
attitudes ^nns++++=attitudes
of ^in++++=of
both ^abx++++=both
readers ^nns++++=readers
of ^in++++=of
a ^at++++=a
journal ^nn++++=journal
and ^cc++++=and
members ^nns++++=members
of ^in++++=of
its ^pp$+it+++=its
associated ^vbd+++xvbn+=associated
learned ^vprf+++xvbn+=learned
society ^nn++++=society.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
these ^dt+dem+++=these
stakeholder ^nn+++??+=stakeholder
groups ^nns++++=groups
demonstrate ^vb+vprv+++=demonstrate
even ^rb++++=even
greater ^jjr+atrb+++=greater
support ^nn++++=support
for ^in++++=for
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^vb++++=review
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
journal ^nn++++=journal
s ^zz++++=s
authors ^nns++++=authors
and ^cc++++=and
reviewers ^nns++++=reviewers,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
provide ^vb+vsua+++=provide
editors ^nns++++=editors
of ^in++++=of
society ^nn++++=society
journals ^nns++++=journals
with ^in++++=with
additional ^jj+atrb+++=additional
justification ^nn++++=justification
to ^to++++=to
consider ^vbi+vprv+++=consider
implementing ^vbg+++xvbg+=implementing
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
stakeholders ^nns+++??+=stakeholders
of ^in++++=of
scholarly ^jj+atrb+++=scholarly
journals ^nns++++=journals
published ^vwbn+++xvbn+=published
by ^in++++=by
university ^nn++++=university
departments ^nns++++=departments
may ^md+pos+++=may
exhibit ^vb++++=exhibit
more ^rbr++++=more
homogeneous ^jj+atrb+++=homogeneous
attitudes ^nns++++=attitudes
toward ^in++++=toward
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review.
. ^zz++++=EXTRAWORD
