Linear ^jj+atrb+++=Linear
regression ^nn++++=regression
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
association ^nn++++=association
between ^in++++=between
leptospirosis ^nns+++??+=leptospirosis
cases ^nns++++=cases
and ^cc++++=and
variations ^nns++++=variations
in ^in++++=in
rainfall ^nn++++=rainfall
levels ^nns++++=levels
for ^in++++=for
the ^ati++++=the
entire ^jjb+atrb+++=entire
study ^nn++++=study
period ^nn++++=period
and ^cc++++=and
population ^nn++++=population,
, ^zz++++=EXTRAWORD
stratified ^jj++++=stratified
by ^in++++=by
Health ^nn++++=Health
Region ^nn++++=Region.
. ^zz++++=EXTRAWORD
To ^to++++=To
examine ^vbi++++=examine
the ^ati++++=the
temporal ^jj+atrb+++=temporal
evolution ^nn++++=evolution
of ^in++++=of
monthly ^jj+atrb+++=monthly
leptospirosis ^nns+++??+=leptospirosis
occurrence ^nn++++=occurrence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
monthly ^jj+atrb+++=monthly
incidence ^nn++++=incidence
rates ^nns++++=rates
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
the ^ati++++=the
dependent ^jj+atrb+++=dependent
variable ^nn++++=variable
( ^zz++++=(y),
y ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
months ^nns++++=months
within ^in++++=within
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period
served ^vbd+++xvbn+=served
as ^ql++++=as
the ^ati++++=the
independent ^jj+atrb+++=independent
variable ^nn++++=variable
( ^zz++++=(x).
x ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
model ^nn++++=model,
, ^zz++++=EXTRAWORD
the ^ati++++=the
monthly ^jj+atrb+++=monthly
changes ^nns++++=changes
in ^in++++=in
leptospirosis ^nns+++??+=leptospirosis
cases ^nns++++=cases
are ^vb+ber+aux++=are
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
the ^ati++++=the
angular ^jj+atrb+++=angular
coefficient ^nn++++=coefficient
( ^zz++++=(beta)
beta ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
obtained ^vbd+++xvbn+=obtained
from ^in++++=from
the ^ati++++=the
linear ^jj+atrb+++=linear
regression ^nn++++=regression
adjustment ^nn++++=adjustment,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
months ^nns++++=months
of ^in++++=of
the ^ati++++=the
calendar ^nn++++=calendar
year ^nn++++=year
as ^in++++=as
the ^ati++++=the
independent ^jj+atrb+++=independent
variable ^nn++++=variable.
. ^zz++++=EXTRAWORD
Trend ^nn++++=Trend
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
the ^ati++++=the
Prais ^np+++??+=Prais-Winsten
- ^zz++++=EXTRAWORD
winsten ^nn+++??+=EXTRAWORD
generalized ^jj+atrb+++=generalized
linear ^jj+atrb+++=linear
regression ^nn++++=regression
method ^nn++++=method,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Gaynor ^np+++??+=Gaynor
and ^cc++++=and
Kirkpatrick15 ^np+++??+=Kirkpatrick15,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
corrects ^vbz++++=corrects
regression ^nn++++=regression
parameters ^nns++++=parameters
for ^in++++=for
first ^od++++=first-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
autocorrelation ^nn++++=autocorrelation.
. ^zz++++=EXTRAWORD
