Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
participants ^nns++++=participants
were ^vbd+bed+vrb++=were
single ^jj+pred+++=single
( ^zz++++=(48.7%)
48.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
women ^nns++++=women
( ^zz++++=(79.8%),
79.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
mean ^jj+atrb+++=mean
age ^nn++++=age
of ^in++++=of
36.2 ^cd++++=36.2
years ^nns++++=years,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
having ^jj+++xvbg+=having
up ^rp++++=up
to ^to++++=to
one ^cd1++++=one
child ^nn++++=child
( ^zz++++=(75.7%),
75.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
high ^jj+atrb+++=high
proportion ^nn++++=proportion
possessing ^vwbg+++xvbg+=possessing
a ^at++++=a
college ^nn++++=college
degree ^nn++++=degree,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
completed ^jj+++xvbn+=completed
or ^cc++++=or
in ^in++++=in
progress ^nn++++=progress
( ^zz++++=(89.7%).
89.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
participants ^nns++++=participants
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
( ^zz++++=(69.5%),
69.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
health ^nn++++=health
insurance ^nn++++=insurance
( ^zz++++=(69.4%),
69.4% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
in ^in++++=in
social ^jj+atrb+++=social
isolation ^nn++++=isolation
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic
( ^zz++++=(87.0%).
87.0% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
demographic ^jj+atrb+++=demographic
profile ^nn++++=profile
is ^vbz+bez+vrb++=is
relevant ^jj+pred+++=relevant
from ^in++++=from
a ^at++++=a
psychological ^jj+atrb+++=psychological
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
aligns ^vbz+++??+=aligns
with ^in++++=with
established ^jj+++xvbn+=established
biological ^jj++++=biological,
, ^zz++++=EXTRAWORD
behavioral ^jj++++=behavioral,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cognitive ^nn+++??+=cognitive
differences ^nns++++=differences
between ^in++++=between
genders ^nns+++??+=genders
that ^tht+rel+subj++=that
can ^md+pos+++=can
influence ^vb++++=influence
health ^nn++++=health
care ^nn++++=care
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
manifestation ^nn++++=manifestation,
, ^zz++++=EXTRAWORD
epidemiology ^nn+++??+=epidemiology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pathophysiology ^nn+++??+=pathophysiology
of ^in++++=of
common ^jj+atrb+++=common
diseases ^nns++++=diseases
( ^zz++++=(Regitz-Zagrosek,
regitz ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
zagrosek ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
