Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
included ^vbd+++xvbn+=included
all ^abn++++=all
confirmed ^jj+atrb++xvbn+=confirmed
cases ^nns++++=cases
of ^in++++=of
Covid ^np+++??+=COVID-19-related
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
deaths ^nns++++=deaths
in ^in++++=in
Brazil ^np++++=Brazil
from ^in++++=from
the ^ati++++=the
first ^od++++=first
recorded ^vbd+vpub++xvbn+=recorded
death ^nn++++=death
on ^in++++=on
March ^nr++++=March
17 ^cd++++=17
until ^in++++=until
May ^md+pos+++=May
15 ^cd++++=15,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
official ^jj+atrb+++=official
website ^nn+++??+=website
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Boltzmann ^np+++??+=Boltzmann
function ^nn++++=function
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied
to ^to++++=to
simulate ^vbi++++=simulate
the ^ati++++=the
data ^nns++++=data
for ^in++++=for
each ^dt++++=each
state ^nn++++=state
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
