It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
greater ^jjr++++=greater
the ^ati++++=the
instability ^nn++++=instability
in ^in++++=in
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
food ^nn++++=food
reflecting ^xvbg+++xvbg+=reflecting
increased ^vprf+++xvbn+=increased
vulnerability ^nn+++??+=vulnerability
of ^in++++=of
the ^ati++++=the
family ^nn++++=family
in ^in++++=in
meeting ^xvbg+++xvbg+=meeting
basic ^jj+atrb+++=basic
needs ^nns++++=needs
the ^ati++++=the
more ^rbr++++=more
significant ^jj++++=significant
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
becomes ^vbz++++=becomes
in ^in++++=in
addressing ^xvbg+++xvbg+=addressing
this ^dt+dem+++=this
deficiency ^nn++++=deficiency
[ ^zz++++=[5].
5 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
in ^in++++=in
contexts ^nns++++=contexts
of ^in++++=of
social ^jj+atrb+++=social
vulnerability ^nn+++??+=vulnerability,
, ^zz++++=EXTRAWORD
school ^nn++++=school-provided
- ^zz++++=EXTRAWORD
provided ^vbd+vsua++xvbn+=EXTRAWORD
meals ^nns++++=meals
function ^nn++++=function
as ^ql++++=as
an ^at++++=an
indirect ^jj+atrb+++=indirect
form ^nn++++=form
of ^in++++=of
income ^nn++++=income
for ^in++++=for
families ^nns++++=families,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^jj++++=contributing
to ^in++++=to
the ^ati++++=the
overall ^jjb+atrb+++=overall
household ^nn++++=household
resources ^nns++++=resources
[ ^zz++++=[10].
10 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
