At ^rb++++=At
all ^abn++++=all
tested ^jj+atrb++xvbn+=tested
temperatures ^nns++++=temperatures
( ^zz++++=(4
4 ^zz++++=EXTRAWORD
C ^zz++++=C,
, ^zz++++=EXTRAWORD
20 ^cd++++=20
C ^zz++++=C,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
40 ^cd++++=40
C ^zz++++=C),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
inactivation ^nn+++??+=inactivation
rate ^nn++++=rate
was ^vbd+bedz+vrb++=was
highest ^jjt+pred+++=highest
at ^rb++++=at
an ^at++++=an
intermediate ^jj+atrb+++=intermediate
relative ^jj+atrb+++=relative
humidity ^nn++++=humidity
of ^in++++=of
50 ^cd++++=50%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
