Once ^rb+tm+++=Once
the ^ati++++=the
complete ^jj+atrb+++=complete
genomic ^nn+++??+=genomic
Rna ^np+++??+=RNA
and ^cc++++=and
the ^ati++++=the
mrnas ^nns+++??+=mRNAs
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
each ^dt++++=each
structural ^jj+atrb+++=structural
open ^jj+atrb+++=open
reading ^jj+atrb++xvbg+=reading
frame ^nn++++=frame
( ^zz++++=(ORF)
orf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
synthesized ^nn+++??+=synthesized,
, ^zz++++=EXTRAWORD
translation ^nn++++=translation
of ^in++++=of
these ^dt+dem+++=these
genes ^nns++++=genes
is ^vbz+bez+aux++=is
initiated ^vpsv++agls+xvbnx+=initiated
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
process ^nn++++=process
3 ^zz++++=3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
production ^nn++++=production
of ^in++++=of
the ^ati++++=the
S ^zz++++=S,
, ^zz++++=EXTRAWORD
E ^zz++++=E,
, ^zz++++=EXTRAWORD
M ^zz++++=M,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
N ^zz++++=N
proteins ^nns+++??+=proteins,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
essential ^nn++++=essential
for ^in++++=for
viral ^nn+++??+=viral
particle ^nn++++=particle
assembly ^nn++++=assembly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
additional ^jj+atrb+++=additional
proteins ^nns+++??+=proteins
encoded ^nn+++??+=encoded
by ^in++++=by
Orfs ^np+++??+=ORFs
3a ^cd++++=3a,
, ^zz++++=EXTRAWORD
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
7a ^cd++++=7a/b,
8 ^zz++++=8,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
9 ^zz++++=9.
. ^zz++++=EXTRAWORD
The ^ati++++=The
specific ^jj+atrb+++=specific
functions ^nns++++=functions
of ^in++++=of
these ^dt+dem+++=these
proteins ^nns+++??+=proteins
will ^md+prd+++=will
be ^vb+be+aux++=be
discussed ^vpsv++agls+xvbnx+=discussed
in ^in++++=in
subsequent ^jj+atrb+++=subsequent
sections ^nns++++=sections.
. ^zz++++=EXTRAWORD
The ^ati++++=The
viral ^nn+++??+=viral
replication ^nn+++??+=replication
cycle ^nn++++=cycle
proceeds ^nns++++=proceeds
with ^in++++=with
the ^ati++++=the
interaction ^nn++++=interaction
of ^in++++=of
the ^ati++++=the
