Aquatic ^jj+atrb+++=Aquatic
anamorphs ^nns+++??+=anamorphs
are ^vb+ber+aux++=are
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
a ^at++++=a
significant ^jj+atrb+++=significant
ecological ^nn+++??+=ecological
group ^nn++++=group
of ^in++++=of
fungi ^nns++++=fungi
involved ^vbd+++xvbn+=involved
in ^in++++=in
the ^ati++++=the
decomposition ^nn++++=decomposition
of ^in++++=of
submerged ^jj+atrb++xvbn+=submerged
leaf ^nn++++=leaf
litter ^nn++++=litter,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
by ^in++++=by
directly ^rb++++=directly
consuming ^vbg+++xvbg+=consuming
the ^ati++++=the
material ^nn++++=material
or ^cc++++=or
by ^in++++=by
enhancing ^xvbg+++xvbg+=enhancing
its ^pp$+it+++=its
nutritional ^jj+atrb+++=nutritional
quality ^nn++++=quality
for ^in++++=for
other ^ap++++=other
organisms ^nns++++=organisms
in ^in++++=in
the ^ati++++=the
trophic ^nn+++??+=trophic
chain ^nn++++=chain,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
shredding ^nn+++??+=shredding
invertebrates ^nns+++??+=invertebrates
( ^zz++++=(B
b ^zz++++=EXTRAWORD
rlocher ^nn+++??+=rlocher
1992 ^cd+date+++=1992;
; ^zz++++=EXTRAWORD
Cheng ^np+++??+=Cheng
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997;
; ^zz++++=EXTRAWORD
Suberkropp ^np+++??+=Suberkropp
1992 ^cd+date+++=1992,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
fungi ^nns++++=fungi
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
play ^vbi++++=play
a ^at++++=a
crucial ^jj+atrb+++=crucial
role ^nn++++=role
in ^in++++=in
nutrient ^nn++++=nutrient
cycling ^vwbg+++xvbg+=cycling
within ^in++++=within
aquatic ^jj+atrb+++=aquatic
ecosystems ^nns++++=ecosystems
( ^zz++++=(Belliveau
belliveau ^nn++++=EXTRAWORD
& ^zz++++=&
b ^zz++++=B
rlocher ^nn++++=rlocher
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
