Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
suppression ^nn++++=suppression
of ^in++++=of
Zootaxa ^np+++??+=Zootaxa,
, ^zz++++=EXTRAWORD
including ^in++++=including
academic ^jj+atrb+++=academic
engagement ^nn++++=engagement,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
media ^nn++++=media
commentary ^nn++++=commentary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
letters ^nns++++=letters
from ^in++++=from
societies ^nns++++=societies
and ^cc++++=and
researchers ^nns+++??+=researchers
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sbh ^np+++??+=SBH
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
Sol ^nn++++=SOL
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Damme ^np+++??+=Damme
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
from ^in++++=from
megadiverse ^nn+++??+=megadiverse
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
prevailing ^jj+++xvbg+=prevailing
sentiment ^&fw++++=sentiment
in ^in++++=in
favor ^nn++++=favor
of ^in++++=of
the ^ati++++=the
journal ^nn++++=journal
and ^cc++++=and
requests ^nns++++=requests
for ^in++++=for
Clarivate ^np+++??+=Clarivate
to ^in++++=to
reconsider ^nn+++??+=reconsider
its ^pp$+it+++=its
decision ^nn++++=decision.
. ^zz++++=EXTRAWORD
From ^in++++=From
these ^dt+dem+++=these
reactions ^nns++++=reactions,
, ^zz++++=EXTRAWORD
two ^cd++++=two
main ^jjb+atrb+++=main
conclusions ^nns++++=conclusions
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
suggested ^vpsv++agls+xvbnx+=suggested:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
Journal ^nn++++=Journal
Impact ^nn++++=Impact
Factor ^nn++++=Factor
( ^zz++++=(JIF)
jif ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
highly ^rb+amp+++=highly
significant ^jj+pred+++=significant
for ^in++++=for
taxonomy ^nn+++??+=taxonomy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
taxonomy ^nn+++??+=taxonomy
as ^ql++++=as
a ^at++++=a
discipline ^nn++++=discipline
is ^vbz+bez+vrb++=is
under ^in++++=under
threat ^nn++++=threat.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
question ^nn++++=question
the ^ati++++=the
validity ^nn++++=validity
of ^in++++=of
both ^abx++++=both
conclusions ^nns++++=conclusions
and ^cc++++=and
encourage ^vb++++=encourage
readers ^nns++++=readers
to ^to++++=to
critically ^rb++splt++=critically
evaluate ^vbi++++=evaluate
these ^dt+dem+++=these
issues ^nns++++=issues.
. ^zz++++=EXTRAWORD
