Abiotic ^np+++??+=Abiotic
factors ^nns++++=factors
Water ^nn++++=Water
temperature ^nn++++=temperature
varied ^vbd+++xvbn+=varied
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
prevailing ^xvbg+++xvbg+=prevailing
climatic ^jj+atrb+++=climatic
conditions ^nns++++=conditions
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
recorded ^jj+atrb++xvbn+=recorded
water ^nn++++=water
temperatures ^nns++++=temperatures
during ^in++++=during
the ^ati++++=the
sampling ^nn++++=sampling
period ^nn++++=period
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
those ^dt+dem+++=those
reported ^jj+++xvbn+=reported
in ^in++++=in
other ^ap++++=other
studies ^nns++++=studies
conducted ^vbd+++xvbn+=conducted
within ^in++++=within
the ^ati++++=the
Atlantic ^np++++=Atlantic
rainforest ^nn+++??+=rainforest
biome ^nn+++??+=biome.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbd+vpub++xvbn+=reported
water ^nn++++=water
temperatures ^nns++++=temperatures
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
20 ^cd++++=20
C ^zz++++=C
to ^to++++=to
26 ^cd++++=26
C ^zz++++=C
in ^in++++=in
the ^ati++++=the
Parque ^np+++??+=Parque
Estadual ^np+++??+=Estadual
das ^&fw++++=das
Fontes ^np+++??+=Fontes
do ^vb+do+vrb++=do
Ipiranga ^np+++??+=Ipiranga
( ^zz++++=(PEFI),
pefi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
State ^nn++++=State
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Nascimento ^np+++??+=Nascimento
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
observed ^vbn+vprv++xvbn+=observed
temperatures ^nns++++=temperatures
between ^in++++=between
14.3 ^cd++++=14.3
C ^zz++++=C
and ^cc++++=and
21.6 ^cd++++=21.6
C ^zz++++=C
in ^in++++=in
the ^ati++++=the
Parque ^np+++??+=Parque
Estadual ^np+++??+=Estadual
da ^np++++=da
Serra ^np+++??+=Serra
da ^np++++=da
Cantareira ^np+++??+=Cantareira,
, ^zz++++=EXTRAWORD
also ^rb++++=also
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
State ^nn++++=State.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
temperature ^nn++++=temperature
ranges ^nns++++=ranges
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
suitable ^jj++++=suitable
for ^in++++=for
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
aquatic ^jj+atrb+++=aquatic
Hyphomycetes ^np+++??+=Hyphomycetes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
having ^jj+++xvbg+=having
an ^at++++=an
optimal ^jj+atrb+++=optimal
growth ^nn++++=growth
temperature ^nn++++=temperature
between ^in++++=between
15 ^cd++++=15
c ^zz++++=C
and ^cc++++=and
25 ^cd++++=25
c ^zz++++=C
( ^zz++++=(Ingold
ingold ^nn++++=EXTRAWORD
1975 ^cd+date+++=1975).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
