Acquiring ^vbg+++xvbg+=Acquiring
a ^at++++=a
new ^jj+atrb+++=new
language ^nn++++=language
requires ^vbz++++=requires
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
multiple ^jj+atrb+++=multiple
skills ^nns++++=skills
necessary ^jj++++=necessary
for ^in++++=for
effective ^jj+atrb+++=effective
comprehension ^nn++++=comprehension
and ^cc++++=and
communication ^nn++++=communication.
. ^zz++++=EXTRAWORD
The ^ati++++=The
four ^cd++++=four
primary ^jj+atrb+++=primary
language ^nn++++=language
skills ^nns++++=skills
are ^vb+ber+aux++=are
listening ^vbg+++xvbgx+=listening,
, ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=speaking,
, ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
writing ^nvbg+++xvbg+=writing.
. ^zz++++=EXTRAWORD
In ^in++++=In
contexts ^nns++++=contexts
where ^wrb+who+++=where
English ^nn++++=English
is ^vbz+bez+aux++=is
taught ^vpsv++agls+xvbnx+=taught
as ^ql++++=as
a ^at++++=a
foreign ^jj+atrb+++=foreign
language ^nn++++=language
and ^cc++++=and
opportunities ^nns++++=opportunities
for ^in++++=for
immersion ^nn++++=immersion
are ^vb+ber+aux++=are
limited ^vpsv++agls+xvbnx+=limited,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
in ^in++++=in
our ^pp$+pp1+++=our
country ^nn++++=country,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
teachers ^vb++++=teachers
to ^to+vcmp+++=to
employ ^vbi++++=employ
innovative ^nn+++??+=innovative
strategies ^nns+++??+=strategies
and ^cc++++=and
incorporate ^vb++++=incorporate
authentic ^jj+atrb+++=authentic
materials ^nns++++=materials,
, ^zz++++=EXTRAWORD
as ^ql++++=as
their ^pp$+pp3+++=their
instruction ^nn++++=instruction
may ^md+pos+++=may
constitute ^vb++++=constitute
the ^ati++++=the
primary ^jj+atrb+++=primary
source ^nn++++=source
of ^in++++=of
English ^jj+atrb+++=English
exposure ^nn++++=exposure
for ^in++++=for
students ^nns++++=students
during ^in++++=during
the ^ati++++=the
learning ^nn++++=learning
process ^nn++++=process
( ^zz++++=(Bekes,
bekes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
