Methods ^nns++++=METHODS:
: ^zz++++=EXTRAWORD
A ^at++++=A
literature ^nn++++=literature
search ^nn++++=search
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
in ^in++++=in
the ^ati++++=the
Pubmed ^np+++??+=PubMed,
, ^zz++++=EXTRAWORD
Lilacs ^np+++??+=LILACS,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Scielo ^np+++??+=SciELO
databases ^nns+++??+=databases
to ^to++++=to
identify ^vbi++++=identify
observational ^jj+atrb+++=observational
studies ^nns++++=studies
published ^vbd+++xvbn+=published
between ^in++++=between
2010 ^cd++++=2010
and ^cc++++=and
2020 ^cd++++=2020
that ^cs+sub+++=that
reported ^vwbn+vpub++xvbn+=reported
outcomes ^nns+++??+=outcomes
in ^in++++=in
individuals ^nns++++=individuals
with ^in++++=with
respiratory ^jj+atrb+++=respiratory
tract ^nn++++=tract
infections ^nns++++=infections
presenting ^vwbg+++xvbg+=presenting
with ^in++++=with
clinical ^jj+atrb+++=clinical
manifestations ^nns++++=manifestations
similar ^jj++++=similar
to ^in++++=to
those ^dt+dem+++=those
of ^in++++=of
covid ^np++++=COVID-19.
- ^zz++++=EXTRAWORD
19. ^nn++++=EXTRAWORD
