These ^dt+dem+++=These
observations ^nns++++=observations
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
kleptophagy ^nn+++??+=kleptophagy
is ^vbz+bez+vrb++=is
an ^at++++=an
ethological ^nn+++??+=ethological
characteristic ^jj++++=characteristic
of ^in++++=of
both ^abx++++=both
Belminus ^np+++??+=Belminus
and ^cc++++=and
Triatominae ^np+++??+=Triatominae,
, ^zz++++=EXTRAWORD
with ^in++++=with
implications ^nns++++=implications
for ^in++++=for
their ^pp$+pp3+++=their
taxonomy ^nn+++??+=taxonomy,
, ^zz++++=EXTRAWORD
phylogeny ^nn+++??+=phylogeny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
evolutionary ^jj+atrb+++=evolutionary
history ^nn++++=history.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
Belminus ^np+++??+=Belminus
are ^vb+ber+vrb++=are
not ^xnot++not++=not
strictly ^rb++++=strictly
hematophagous ^vb+++??+=hematophagous,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
trait ^nn++++=trait
may ^md+pos+++=may
warrant ^vb++++=warrant
reconsideration ^nn+++??+=reconsideration
in ^in++++=in
their ^pp$+pp3+++=their
taxonomic ^nn+++??+=taxonomic
classification ^nn++++=classification.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
propose ^vb++++=propose
that ^tht+vcmp+++=that
kleptophagy ^nn+++??+=kleptophagy
be ^vb+be+aux++=be
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
a ^at++++=a
unifying ^jj+atrb+++=unifying
attribute ^nn++++=attribute
among ^in++++=among
triatomines ^nns+++??+=triatomines.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
kleptophagy ^nn+++??+=kleptophagy
is ^vbz+bez+vrb++=is
a ^at++++=a
non ^&fw++++=non-aggressive
- ^zz++++=EXTRAWORD
aggressive ^jj+atrb+++=EXTRAWORD
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
more ^rbr++++=more
violent ^jj+atrb+++=violent
predatory ^jj+atrb+++=predatory
behaviors ^nns++++=behaviors
typically ^rb++++=typically
observed ^vpsv++agls+xvbn+=observed
in ^in++++=in
ancestral ^jj+atrb+++=ancestral
reduviids ^nns++++=reduviids.
. ^zz++++=EXTRAWORD
