Similar ^jj++++=Similar
to ^in++++=to
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mortality ^nn++++=mortality
rate ^nn++++=rate
generally ^rb+down+++=generally
exhibits ^nns++++=exhibits
a ^at++++=a
comparable ^jj+atrb+++=comparable
pattern ^nn++++=pattern
of ^in++++=of
regional ^jj+atrb+++=regional
distribution ^nn++++=distribution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
identified ^vwbn+++xvbn+=identified
the ^ati++++=the
Vale ^npl++++=Vale
do ^vb+do+vrb++=do
A ^at++++=A
o ^zz++++=o,
, ^zz++++=EXTRAWORD
Northern ^jj+atrb+++=Northern
Triangle ^nn++++=Triangle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Southeast ^np+++??+=Southeast
regions ^nns++++=regions
as ^ql++++=as
having ^jj+++xvbg+=having
the ^ati++++=the
highest ^jjt+atrb+++=highest
mortality ^nn++++=mortality
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
Central ^jj+atrb+++=Central
region ^nn++++=region
recorded ^vbd+vpub++xvbn+=recorded
the ^ati++++=the
highest ^jjt+atrb+++=highest
absolute ^jj+atrb+++=absolute
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
territorial ^jj+atrb+++=territorial
distribution ^nn++++=distribution
can ^md+pos+++=can
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
a ^at++++=a
combination ^nn++++=combination
of ^in++++=of
anthropogenic ^nn+++??+=anthropogenic
and ^cc++++=and
environmental ^jj+atrb+++=environmental
factors ^nns++++=factors
that ^tht+rel+subj++=that
facilitate ^vb++++=facilitate
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
virus ^nn++++=virus,
, ^zz++++=EXTRAWORD
including ^in++++=including
climatic ^jj+atrb+++=climatic
conditions ^nns++++=conditions,
, ^zz++++=EXTRAWORD
transportation ^nn++++=transportation
flows ^nns++++=flows,
, ^zz++++=EXTRAWORD
economic ^jj+atrb+++=economic
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
air ^nn++++=air
pollution ^nn++++=pollution.
. ^zz++++=EXTRAWORD
