A ^at++++=A
systematic ^jj+atrb+++=systematic
review ^nn++++=review
found ^vbd+vprv+tht0+xvbn+=found
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
between ^in++++=between
2000 ^cd++++=2000
and ^cc++++=and
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
61 ^cd++++=61
studies ^nns++++=studies
evaluating ^jj+atrb++??+=evaluating
job ^nn++++=job
satisfaction ^nn++++=satisfaction
among ^in++++=among
physicians ^nns++++=physicians
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
utilizing ^nn+++??+=utilizing
26 ^cd++++=26
different ^jj+atrb+++=different
assessment ^nn++++=assessment
instruments ^nns++++=instruments
( ^zz++++=(38).
38 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
31 ^cd++++=31%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
studies ^nns++++=studies
developed ^vbd+++xvbn+=developed
their ^pp$+pp3+++=their
own ^ap++++=own
instruments ^nns++++=instruments
to ^to++++=to
measure ^vbi++++=measure
job ^nn++++=job
satisfaction ^nn++++=satisfaction
( ^zz++++=(38).
38 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
substantial ^jj+atrb+++=substantial
heterogeneity ^nn+++??+=heterogeneity
in ^in++++=in
the ^ati++++=the
instruments ^nns++++=instruments
used ^vwbn+++xvbn+=used
across ^in+pl+++=across
the ^ati++++=the
European ^jj+atrb+++=European
context ^nn++++=context
may ^md+pos+++=may
be ^vb+be+vrb++=be
attributable ^jj+pred+++=attributable
to ^in++++=to
variations ^nns++++=variations
in ^in++++=in
the ^ati++++=the
organization ^nn++++=organization
and ^cc++++=and
functioning ^nvbg+++xvbg+=functioning
of ^in++++=of
healthcare ^nn+++??+=healthcare
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
the ^ati++++=the
application ^nn++++=application
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
instrument ^nn++++=instrument
could ^md+pos+++=could
result ^vb++++=result
in ^in++++=in
biased ^vbd+++xvbn+=biased
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
In ^in++++=In
Latin ^jj+atrb+++=Latin
America ^np++++=America,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
available ^jj+atrb+++=available
data ^nns++++=data
identifying ^vwbg+++xvbg+=identifying
the ^ati++++=the
most ^ql+emph+++=most
commonly ^rb++++=commonly
used ^xvbn+++xvbn+=used
instruments ^nns++++=instruments
for ^in++++=for
assessing ^xvbg+++xvbg+=assessing
job ^nn++++=job
satisfaction ^nn++++=satisfaction.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
some ^dti++++=some
studies ^nns++++=studies
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
have ^vb+hv+aux++=have
adapted ^vprf+++xvbnx+=adapted
various ^jj+atrb+++=various
instruments ^nns++++=instruments,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Copenhagen ^np++++=Copenhagen
Psychosocial ^jj+atrb+++=Psychosocial
Questionnaire ^nn++++=Questionnaire
( ^zz++++=(39)
39 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Warr ^np+++??+=Warr
Cook ^nn++++=Cook
Wall ^nn++++=Wall
Job ^nn++++=Job
Satisfaction ^nn++++=Satisfaction
Scale ^nn++++=Scale
( ^zz++++=(40).
40 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
studies ^nns++++=studies
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
on ^in++++=on
small ^jj++++=small,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-nationally
- ^zz++++=EXTRAWORD
nationally ^rb++++=EXTRAWORD
representative ^jj+atrb+++=representative
samples ^nns++++=samples
and ^cc++++=and
employed ^xvbn+++xvbn+=employed
instruments ^nns++++=instruments
originally ^rb+tm+++=originally
developed ^vbd+++xvbn+=developed
for ^in++++=for
healthcare ^nn+++??+=healthcare
contexts ^nns++++=contexts
in ^in++++=in
European ^jj+atrb+++=European
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
some ^dti++++=some
instruments ^nns++++=instruments
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
designed ^vpsv++agls+xvbnx+=designed
within ^in++++=within
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
similar ^jj+atrb+++=similar
limitations ^nns++++=limitations
as ^ql++++=as
those ^dt+dem+++=those
observed ^jj++++=observed
in ^in++++=in
the ^ati++++=the
european ^jj+atrb+++=European
context ^nn++++=context.
. ^zz++++=EXTRAWORD
