According ^in+cmpx+++=According
to ^in++++=to
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
Johns ^np++++=Johns
Hopkins ^np+++??+=Hopkins
Coronavirus ^np+++??+=Coronavirus
Resource ^nn++++=Resource
Center ^np+++??+=Center,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening
of ^in++++=of
May ^md+pos+++=May
31 ^cd++++=31,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
6,194,508 ^cd++++=6,194,508
confirmed ^vbn+vpub++xvbn+=confirmed
cases ^nns++++=cases
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
and ^cc++++=and
372,501 ^cd++++=372,501
confirmed ^vbn+vpub++xvbn+=confirmed
deaths ^nns++++=deaths
worldwide ^nn+++??+=worldwide.
. ^zz++++=EXTRAWORD
On ^in++++=On
that ^dt+dem+++=that
date ^nn++++=date,
, ^zz++++=EXTRAWORD
the ^ati++++=the
countries ^nns++++=countries
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
numbers ^nns++++=numbers
of ^in++++=of
confirmed ^vbn+vpub+tht0+xvbn+=confirmed
cases ^nns++++=cases
were ^vbd+bed+vrb++=were
the ^ati++++=the
United ^np++++=United
States ^np++++=States
( ^zz++++=(1,790,191),
1,790,191 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
( ^zz++++=(514,849),
514,849 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Russia ^np++++=Russia
( ^zz++++=(414,878).
414,878 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
highest ^jjt+atrb+++=highest
numbers ^nns++++=numbers
of ^in++++=of
confirmed ^vbn+vpub+tht0+xvbn+=confirmed
deaths ^nns++++=deaths
were ^vbd+bed+aux++=were
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^np++++=States
( ^zz++++=(104,383),
104,383 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
Kingdom ^npl++++=Kingdom
( ^zz++++=(38,571),
38,571 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Italy ^np++++=Italy
( ^zz++++=(33,415),
33,415 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
brazil ^np++++=Brazil
ranking ^nn++++=ranking
fourth ^od++++=fourth
with ^in++++=with
29,314 ^cd++++=29,314
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
