The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
through ^in++++=through
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
seasonal ^jj+atrb+++=seasonal
variability ^nn++++=variability
in ^in++++=in
leptospirosis ^nns+++??+=leptospirosis
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
confirmed ^vpbn+vpub++xvbn+=confirmed
a ^at++++=a
positive ^jj+atrb+++=positive
correlation ^nn++++=correlation
between ^in++++=between
periods ^nns++++=periods
of ^in++++=of
increased ^jj+atrb++xvbn+=increased
rainfall ^nn++++=rainfall
and ^cc++++=and
a ^at++++=a
higher ^jjr+atrb+++=higher
number ^nn++++=number
of ^in++++=of
reported ^vbn+vpub+++=reported
cases ^nns++++=cases
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
