Immunosuppressive ^np+++??+=Immunosuppressive
therapies ^nns+++??+=therapies
are ^vb+ber+vrb++=are
currently ^rb++++=currently
under ^in++++=under
investigation ^nn++++=investigation
as ^ql++++=as
cytokine ^vb+++??+=cytokine
storm ^nn++++=storm
inhibitors ^nns++++=inhibitors
for ^in++++=for
adjunctive ^nn+++??+=adjunctive
treatment ^nn++++=treatment
in ^in++++=in
severe ^jj+atrb+++=severe
cases ^nns++++=cases
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
fingolimod ^nn+++??+=fingolimod
( ^zz++++=(ClinicalTrials.gov
clinicaltrials.gov ^nn+++??+=EXTRAWORD
Identifier ^np+++??+=Identifier:
: ^zz++++=EXTRAWORD
Nct04280588 ^np+++??+=NCT04280588).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Interferons ^np+++??+=Interferons,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
disease ^nn++++=disease-modifying
- ^zz++++=EXTRAWORD
modifying ^vbg+++xvbg+=EXTRAWORD
drugs ^nns++++=drugs
( ^zz++++=(DMDs)
dmds ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
used ^vbd+++xvbn+=used
in ^in++++=in
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS),
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
possess ^vb++++=possess
antiviral ^jj+atrb++??+=antiviral
properties ^nns++++=properties
and ^cc++++=and
are ^vb+ber+vrb++=are
also ^rb++++=also
being ^xvbg+++xvbg+=being
studied ^vbd+++xvbn+=studied
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
( ^zz++++=(ClinicalTrials.gov
clinicaltrials.gov ^nn+++??+=EXTRAWORD
Identifiers ^np+++??+=Identifiers:
: ^zz++++=EXTRAWORD
Nct04343768 ^np+++??+=NCT04343768,
