Neither ^dt++neg++=Neither
the ^ati++++=the
fixed ^jj+atrb++xvbn+=fixed
action ^nn++++=action
pattern ^nn++++=pattern
( ^zz++++=(FAP)
fap ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
nor ^cc++neg++=nor
proboscis ^nns+++??+=proboscis
extension ^nn++++=extension
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
Y ^zz++++=Y-olfactometer
- ^zz++++=EXTRAWORD
olfactometer ^nn+++??+=EXTRAWORD
assays ^nns+++??+=assays;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
chemotactic ^nn+++??+=chemotactic
responses ^nns++++=responses
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected
in ^in++++=in
certain ^jj+atrb+++=certain
instances ^nns++++=instances.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
one ^cd1++++=one
arm ^nn++++=arm
of ^in++++=of
the ^ati++++=the
Y ^zz++++=Y-olfactometer
- ^zz++++=EXTRAWORD
olfactometer ^jj+atrb++??+=EXTRAWORD
contained ^jj+atrb++xvbn+=contained
headspace ^nn+++??+=headspace
volatiles ^nns+++??+=volatiles
from ^in++++=from
live ^vb++++=live
cockroaches ^nns+++??+=cockroaches
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
contained ^jj+atrb++xvbn+=contained
clean ^jj+atrb+++=clean
air ^nn++++=air,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
corredori ^nn+++??+=corredori
( ^zz++++=(P=0.005),
p=0.005 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
ferroae ^nn+++??+=ferroae
( ^zz++++=(P=0.04),
p=0.04 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
B ^zz++++=B.
. ^zz++++=EXTRAWORD
herreri ^nn+++??+=herreri
( ^zz++++=(P=0.014)
p=0.014 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
exhibited ^vbd+++xvbn+=exhibited
significant ^jj+atrb+++=significant
avoidance ^nn++++=avoidance
of ^in++++=of
the ^ati++++=the
odorous ^jj+atrb+++=odorous
air ^nn++++=air
current ^jj++++=current
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
chi ^np++++=chi-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
test ^nn++++=test
of ^in++++=of
independence ^nn++++=independence
indicated ^vbd+vprv++xvbn+=indicated
no ^at++++=no
significant ^jj+atrb+++=significant
association ^nn++++=association
between ^in++++=between
species ^nn++++=species
and ^cc++++=and
behavioral ^jj+atrb+++=behavioral
responses ^nns++++=responses
( ^zz++++=(P=0.347).
p=0.347 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
of ^in++++=of
the ^ati++++=the
genus ^nns+++??+=genus
Belminus ^np+++??+=Belminus
( ^zz++++=(n=52)
n=52 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
avoided ^vbd+++xvbn+=avoided
cockroach ^nn++++=cockroach-emitted
- ^zz++++=EXTRAWORD
emitted ^vbd+++xvbn+=EXTRAWORD
volatiles ^nns++++=volatiles
in ^in++++=in
79 ^cd++++=79%
% ^zz++++=EXTRAWORD
of ^in++++=of
trials ^nns++++=trials
( ^zz++++=(P=0.000013).
p=0.000013 ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
