Fear ^vb++++=Fear
is ^vbz+bez+aux++=is
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
multiple ^jj+atrb+++=multiple
variables ^nns++++=variables
and ^cc++++=and
determinants ^nns++++=determinants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
investigation ^nn++++=investigation
of ^in++++=of
the ^ati++++=the
neurobiological ^nn+++??+=neurobiological
structures ^nns++++=structures
underlying ^vwbg+++xvbg+=underlying
its ^pp$+it+++=its
development ^nn++++=development
is ^vbz+bez+vrb++=is
complex ^jj+pred+++=complex.
. ^zz++++=EXTRAWORD
A ^at++++=A
notable ^jj+atrb+++=notable
feature ^nn++++=feature
of ^in++++=of
stress ^nn++++=stress,
, ^zz++++=EXTRAWORD
fear ^vb++++=fear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anxiety ^nn++++=anxiety
is ^vbz+bez+vrb++=is
the ^ati++++=the
phenomenon ^nn++++=phenomenon
of ^in++++=of
generalisation ^nn++++=generalisation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
serve ^vb++++=serve
an ^at++++=an
adaptive ^nn+++??+=adaptive
function ^nn++++=function.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
excessive ^jj+atrb+++=excessive
generalisation ^nn++++=generalisation,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
overgeneralisation ^nn+++??+=overgeneralisation,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
maladaptive ^jj+pred+++=maladaptive
and ^cc++++=and
represents ^vbz++++=represents
a ^at++++=a
core ^nn++++=core
characteristic ^jj++++=characteristic
of ^in++++=of
certain ^jj+atrb+++=certain
mental ^jj+atrb+++=mental
disorders ^nns++++=disorders,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
post ^nn++++=post-traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
stress ^nn++++=stress
disorder ^nn++++=disorder
( ^zz++++=(23).
23 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
maladaptive ^jj+atrb+++=maladaptive
generalisation ^nn++++=generalisation
of ^in++++=of
fear ^nn++++=fear
arises ^vbz++++=arises
when ^wrb+who+++=when
an ^at++++=an
abnormal ^jj+atrb+++=abnormal
stimulus ^nn++++=stimulus-response
- ^zz++++=EXTRAWORD
response ^nn++++=EXTRAWORD
gradient ^nn++++=gradient
leads ^vbz++++=leads
to ^in++++=to
defensive ^jj+atrb+++=defensive
behaviours ^nns+++??+=behaviours
in ^in++++=in
environments ^nns++++=environments
or ^cc++++=or
in ^in++++=in
response ^nn++++=response
to ^in++++=to
cues ^nns+++??+=cues
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
not ^xnot++not++=not
directly ^rb++++=directly
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
actual ^jj+atrb+++=actual
threat ^nn++++=threat
or ^cc++++=or
danger ^nn++++=danger
( ^zz++++=(24).
24 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
