Table ^nn++++=Table
N.2 ^np+++??+=N.2
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
both ^abx++++=both
groups ^nns++++=groups
demonstrated ^vbd+vprv++xvbn+=demonstrated
deficiencies ^nns++++=deficiencies
in ^in++++=in
key ^jjb+atrb+++=key
reading ^jj+atrb++xvbg+=reading
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
including ^in++++=including
paraphrasing ^nn+++??+=paraphrasing
content ^nn++++=content,
, ^zz++++=EXTRAWORD
generating ^vbg+++xvbg+=generating
new ^jj+atrb+++=new
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
predictions ^nns++++=predictions,
, ^zz++++=EXTRAWORD
expressing ^vbg+++xvbg+=expressing
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
establishing ^jj+atrb++xvbg+=establishing
connections ^nns++++=connections
within ^in++++=within
the ^ati++++=the
information ^nn++++=information
presented ^vwbn+++xvbn+=presented.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
conclusion ^nn++++=conclusion
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
responses ^nns++++=responses
to ^in++++=to
specific ^jj+atrb+++=specific
questions ^nns++++=questions
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
assess ^vbi++++=assess
these ^dt+dem+++=these
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
control ^nn++++=control
group ^nn++++=group
scoring ^vwbg+++xvbg+=scoring
an ^at++++=an
average ^nn++++=average
of ^in++++=of
3.92 ^cd++++=3.92
points ^nns++++=points
and ^cc++++=and
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group
scoring ^vwbg+++xvbg+=scoring
4.22 ^cd++++=4.22
points ^nns++++=points.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
also ^rb++++=also
reveal ^vb+vprv+++=reveal
a ^at++++=a
significant ^jj+atrb+++=significant
improvement ^nn++++=improvement
in ^in++++=in
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
achieved ^vbd+++xvbn+=achieved
a ^at++++=a
post ^nn++++=post-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
score ^nn++++=score
of ^in++++=of
7.02 ^cd++++=7.02
out ^rp+pl+++=out
of ^in++++=of
10 ^cd++++=10.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
result ^nn++++=result
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
was ^vbd+bedz+vrb++=was
effective ^jj+pred+++=effective
in ^in++++=in
enhancing ^xvbg+++xvbg+=enhancing
reading ^nvbg+++xvbg+=reading
comprehension ^nn++++=comprehension,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting
previous ^jj+atrb+++=previous
findings ^vb++++=findings
that ^tht+vcmp+++=that
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
facilitate ^vb++++=facilitate
information ^nn++++=information
understanding ^nn++++=understanding
( ^zz++++=(Graves
graves ^np++++=EXTRAWORD
& ^zz++++=&
graves ^np++++=Graves,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
