Studies ^nns++++=Studies
such ^abl++++=such
as ^ql++++=as
reviews ^nns++++=reviews,
, ^zz++++=EXTRAWORD
letters ^nns++++=letters
to ^in++++=to
the ^ati++++=the
editor ^nn++++=editor,
, ^zz++++=EXTRAWORD
theses ^nns++++=theses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dissertations ^nns+++??+=dissertations
that ^tht+rel+++=that
addressed ^jj+atrb++xvbn+=addressed
bacterial ^jj+atrb+++=bacterial
infections ^nns++++=infections,
, ^zz++++=EXTRAWORD
including ^in++++=including
tuberculosis ^nn++++=tuberculosis,
, ^zz++++=EXTRAWORD
utilized ^jj+atrb++xvbn+=utilized
experimental ^jj+atrb+++=experimental
models ^nns++++=models,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
employed ^jj+atrb++xvbn+=employed
analytical ^jj+atrb+++=analytical
methodologies ^nns+++??+=methodologies
focused ^vbd+++xvbn+=focused
on ^in++++=on
assessing ^xvbg+++xvbg+=assessing
the ^ati++++=the
association ^nn++++=association
between ^in++++=between
infection ^nn++++=infection
and ^cc++++=and
subsequent ^jj+atrb+++=subsequent
nutritional ^jj+atrb+++=nutritional
deficiency ^nn++++=deficiency
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
the ^ati++++=the
present ^jj+atrb+++=present
review ^nn++++=review.
. ^zz++++=EXTRAWORD
To ^to++++=To
enhance ^vbi++++=enhance
the ^ati++++=the
sensitivity ^nn++++=sensitivity
of ^in++++=of
the ^ati++++=the
search ^nn++++=search
for ^in++++=for
studies ^nns++++=studies
related ^vbd+++xvbn+=related
to ^in++++=to
iron ^nn++++=iron
deficiency ^nn++++=deficiency,
, ^zz++++=EXTRAWORD
the ^ati++++=the
term ^nn++++=term
" ^zz++++="anemia"
anemia ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
included ^vpsv++agls+xvbnx+=included
as ^ql++++=as
a ^at++++=a
descriptor ^nn+++??+=descriptor;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
studies ^nns++++=studies
that ^tht+rel+subj++=that
identified ^vbd+++xvbn+=identified
anemia ^nn+++??+=anemia
solely ^rb++++=solely
through ^in++++=through
hematocrit ^nn+++??+=hematocrit
and ^cc++++=and
hemoglobin ^nn+++??+=hemoglobin
measurements ^nns++++=measurements,
, ^zz++++=EXTRAWORD
without ^in++++=without
evaluating ^nn+++??+=evaluating
iron ^nn++++=iron
status ^nn++++=status
using ^vwbg+++xvbg+=using
ferritin ^nn+++??+=ferritin
and ^cc++++=and
transferrin ^nn+++??+=transferrin
receptor ^nn+++??+=receptor
levels ^nns++++=levels
[ ^zz++++=[14,15],
14,15 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
not ^xnot++not++=not
considered ^vpsv++agls+xvbn+=considered
eligible ^jj++++=eligible
for ^in++++=for
inclusion ^nn++++=inclusion.
. ^zz++++=EXTRAWORD
