Almost ^rb+hdg+++=Almost
all ^abn++++=all
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
analyzed ^nn+++??+=analyzed
population ^nn++++=population
possess ^vb++++=possess
a ^at++++=a
cell ^nn++++=cell
phone ^nn++++=phone
( ^zz++++=(96%),
96% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
substantial ^jj+atrb+++=substantial
proportion ^nn++++=proportion
own ^ap++++=own
a ^at++++=a
smartphone ^nn+++??+=smartphone
( ^zz++++=(70%).
70% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
expenditure ^nn++++=expenditure
on ^in++++=on
smart ^jj+atrb+++=smart
telephony ^nn+++??+=telephony
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
a ^at++++=a
higher ^jjr+atrb+++=higher
percentage ^nn++++=percentage
of ^in++++=of
female ^jj+atrb+++=female
students ^nns++++=students
( ^zz++++=(14.4%)
14.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
invest ^vb++++=invest
between ^in++++=between
$ ^zz++++=$200
200 ^cd++++=EXTRAWORD
and ^cc++++=and
$ ^zz++++=$299
299 ^cd++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
a ^at++++=a
greater ^jjr+atrb+++=greater
proportion ^nn++++=proportion
of ^in++++=of
male ^jj+atrb+++=male
students ^nns++++=students
( ^zz++++=(10.5%)
10.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
spend ^vb++++=spend
between ^in++++=between
$ ^zz++++=$100
100 ^cd++++=EXTRAWORD
and ^cc++++=and
$ ^zz++++=$199.
199 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
monthly ^jj+atrb+++=monthly
cellular ^jj+atrb+++=cellular
telephony ^nn+++??+=telephony
costs ^nns++++=costs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
both ^abx++++=both
male ^jj++++=male
( ^zz++++=(35.2%)
35.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
female ^jj++++=female
( ^zz++++=(25.3%)
25.3 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
students ^nns++++=students
report ^nn++++=report
expenses ^nns++++=expenses
within ^in++++=within
the ^ati++++=the
$ ^zz++++=$0
0 ^zz++++=EXTRAWORD
to ^to++++=to
$ ^zz++++=$19
19 ^cd++++=EXTRAWORD
range ^nn++++=range.
. ^zz++++=EXTRAWORD
