Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Ross ^np++++=Ross-Hellauer
- ^zz++++=EXTRAWORD
hellauer ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
Rbmfc ^np+++??+=RBMFC
readers ^nns++++=readers,
, ^zz++++=EXTRAWORD
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reviewers ^nns++++=reviewers
did ^vbd+dod+aux++=did
not ^xnot++not++=not
support ^vb++++=support
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
manuscripts ^nns++++=manuscripts
should ^md+nec+++=should
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
freely ^rb++++=freely
available ^jj++++=available
prior ^jj++++=prior
to ^to++++=to
peer ^vbi++++=peer
review ^nn++++=review,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ql+emph+++=most
authors ^nns++++=authors
and ^cc++++=and
reviewers ^nns++++=reviewers
did ^vbd+dod+aux++=did
not ^xnot++not++=not
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
preprints ^nns+++??+=preprints
would ^md+prd+++=would
enhance ^vb++++=enhance
the ^ati++++=the
peer ^nn++++=peer
review ^nn++++=review
process ^nn++++=process.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
limited ^jj+atrb++xvbn+=limited
support ^nn++++=support
stands ^vbz++++=stands
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
recent ^jj+atrb+++=recent
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
preprint ^nn+++??+=preprint
servers ^nns++++=servers,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
biorxiv ^vb+++??+=bioRxiv,
, ^zz++++=EXTRAWORD
medrxiv ^nn+++??+=medRxiv,
, ^zz++++=EXTRAWORD
Osf ^np+++??+=OSF
Preprints ^np+++??+=Preprints,
, ^zz++++=EXTRAWORD
Scielo ^np+++??+=SciELO
Preprints ^np+++??+=Preprints,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Emeri ^np+++??+=EmeRI
( ^zz++++=(Emerging
emerging ^vbg+++xvbg+=EXTRAWORD
Research ^nn++++=Research
Information ^nn++++=Information),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
any ^dti++++=any
objections ^nns++++=objections
when ^wrb+who+++=when
Rbmfc ^np+++??+=RBMFC
began ^vbd+++xvbn+=began
explicitly ^rb++++=explicitly
accepting ^jj+atrb++xvbg+=accepting
manuscripts ^nns++++=manuscripts
previously ^rb+tm+++=previously
posted ^vbd+++xvbn+=posted
as ^ql++++=as
preprints ^vbz+++??+=preprints
in ^in++++=in
December ^nr++++=December
2018 ^cd++++=2018.
. ^zz++++=EXTRAWORD
A ^at++++=A
possible ^jj+atrb+++=possible
explanation ^nn++++=explanation
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
while ^cs+sub+++=while
authors ^nns++++=authors
may ^md+pos+++=may
not ^xnot++not++=not
intend ^vb++++=intend
to ^to+vcmp+++=to
deposit ^vbi++++=deposit
their ^pp$+pp3+++=their
own ^ap++++=own
manuscripts ^nns++++=manuscripts
in ^in++++=in
preprint ^nn+++??+=preprint
servers ^nns++++=servers,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
oppose ^vb++++=oppose
the ^ati++++=the
practice ^nn++++=practice
when ^wrb+who+++=when
undertaken ^vprf+++xvbn+=undertaken
by ^in++++=by
others ^aps++++=others.
. ^zz++++=EXTRAWORD
