Leptospirosis ^np+++??+=Leptospirosis
incidence ^nn++++=incidence
exhibits ^nns++++=exhibits
seasonality ^nn+++??+=seasonality,
, ^zz++++=EXTRAWORD
with ^in++++=with
peaks ^nns++++=peaks
typically ^rb++++=typically
occurring ^vbg+++xvbg+=occurring
during ^in++++=during
the ^ati++++=the
summer ^nn++++=summer
and ^cc++++=and
fall ^nn++++=fall
in ^in++++=in
temperate ^jj+atrb+++=temperate
climate ^nn++++=climate
countries ^nns++++=countries
and ^cc++++=and
during ^in++++=during
the ^ati++++=the
rainy ^jj+atrb+++=rainy
seasons ^nns++++=seasons
in ^in++++=in
tropical ^jj+atrb+++=tropical
regions ^nns++++=regions.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
an ^at++++=an
emerging ^jj+atrb++xvbg+=emerging
infectious ^nns+++??+=infectious
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
as ^ql++++=as
its ^pp$+it+++=its
burden ^nn++++=burden
is ^vbz+bez+aux++=is
projected ^vpsv++agls+xvbnx+=projected
to ^to++++=to
increase ^vbi++++=increase
in ^in++++=in
both ^abx++++=both
developed ^jj+atrb++xvbn+=developed
and ^cc+phrs+++=and
developing ^jj+atrb++xvbg+=developing
countries ^nns++++=countries
due ^jj++++=due
to ^in+jcmp+++=to
global ^jj+atrb+++=global
climate ^nn++++=climate
change ^nn++++=change,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
more ^rbr++++=more
frequent ^jj+atrb+++=frequent
extreme ^jj+atrb+++=extreme
weather ^nn++++=weather
events ^nns++++=events
such ^abl++++=such
as ^ql++++=as
floods ^nns++++=floods
that ^tht+rel+subj++=that
facilitate ^vb++++=facilitate
leptospirosis ^nns++++=leptospirosis
outbreaks ^nns++++=outbreaks.
. ^zz++++=EXTRAWORD
