If ^cs+cnd+++=If
a ^at++++=a
patient ^nn++++=patient
discontinues ^nns+++??+=discontinues
a ^at++++=a
disease ^nn++++=disease-modifying
- ^zz++++=EXTRAWORD
modifying ^vbg+++xvbg+=EXTRAWORD
drug ^nn++++=drug
( ^zz++++=(DMD)
dmd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
during ^in++++=during
a ^at++++=a
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
timing ^nn++++=timing
of ^in++++=of
reintroduction ^nn+++??+=reintroduction
should ^md+nec+++=should
be ^vb+be+aux++=be
carefully ^rb++splt++=carefully
determined ^vpsv++agls+xvbnx+=determined
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
activity ^nn++++=activity
of ^in++++=of
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD),
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
patient ^nn++++=patient's
's ^$++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
specific ^jj+atrb+++=specific
Dmds ^np+++??+=DMDs
previously ^rb+tm+++=previously
used ^vbd+++xvbn+=used.
. ^zz++++=EXTRAWORD
The ^ati++++=The
severity ^nn++++=severity
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection
should ^md+nec+++=should
be ^vb+be+aux++=be
closely ^rb++splt++=closely
monitored ^vpsv++agls+xvbnx+=monitored,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
duration ^nn++++=duration
of ^in++++=of
viremia ^nn+++??+=viremia.
. ^zz++++=EXTRAWORD
Evidence ^nn++++=Evidence
indicates ^vbz+vpub+tht0++=indicates
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
mild ^jj+atrb+++=mild
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
initially ^rb+tm+++=initially
positive ^jj+atrb+++=positive
nasopharyngeal ^nn+++??+=nasopharyngeal
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
become ^vb++++=become
negative ^jj++++=negative
within ^in++++=within
10 ^cd++++=10
days ^nns++++=days
of ^in++++=of
symptom ^nn++++=symptom
onset ^nn++++=onset,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
more ^rbr++++=more
severe ^jj+atrb+++=severe
cases ^nns++++=cases
may ^md+pos+++=may
exhibit ^vb++++=exhibit
prolonged ^jj+atrb++xvbn+=prolonged
positivity ^nn+++??+=positivity.
. ^zz++++=EXTRAWORD
Immunosuppression ^np+++??+=Immunosuppression
may ^md+pos+++=may
further ^jjb++++=further
extend ^vb++++=extend
the ^ati++++=the
duration ^nn++++=duration
of ^in++++=of
viremia ^nn+++??+=viremia.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
delaying ^jj+++xvbg+=delaying
the ^ati++++=the
reinitiation ^nn+++??+=reinitiation
of ^in++++=of
Dmds ^np+++??+=DMDs
may ^md+pos+++=may
increase ^vb++++=increase
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
disease ^nn++++=disease
relapse ^nn++++=relapse
or ^cc++++=or
rebound ^nn++++=rebound,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
following ^jj+atrb++xvbg+=following
discontinuation ^nn+++??+=discontinuation
of ^in++++=of
natalizumab ^nn+++??+=natalizumab
or ^cc++++=or
fingolimod ^nn+++??+=fingolimod.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^in++++=to
reintroduce ^nn+++??+=reintroduce
Dmds ^np+++??+=DMDs
4 ^zz++++=4
to ^to++++=to
8 ^zz++++=8
weeks ^nns++++=weeks
after ^in++++=after
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
and ^cc++++=and
to ^to++++=to
involve ^vbi++++=involve
infectious ^nns+++??+=infectious
disease ^nn++++=disease
specialists ^nns++++=specialists
to ^to++++=to
confirm ^vbi+vpub+++=confirm
viral ^nn++++=viral
clearance ^nn++++=clearance
prior ^in+cmpx+++=prior
to ^in"++++=to
resuming ^vbg+++xvbg+=resuming
immunosuppressive ^nn++++=immunosuppressive
therapy ^nn++++=therapy.
. ^zz++++=EXTRAWORD
