A ^at++++=A
significant ^jj+atrb+++=significant
increase ^nn++++=increase
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
from ^in++++=from
2003 ^cd++++=2003
to ^to++++=to
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
driven ^vpsv++by+xvbn+=driven
by ^in++++=by
the ^ati++++=the
Sars ^np+++??+=SARS
epidemic ^nn++++=epidemic,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
hundreds ^cds++++=hundreds
of ^in++++=of
deaths ^nns++++=deaths
in ^in++++=in
2002 ^cd++++=2002
and ^cc++++=and
2003 ^cd++++=2003
and ^cc++++=and
had ^vb+hv+vrb++=had
a ^at++++=a
substantial ^jj+atrb+++=substantial
economic ^jj+atrb+++=economic
impact ^nn++++=impact
in ^in++++=in
Asia ^np++++=Asia.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
period ^nn++++=period
from ^in++++=from
2020 ^cd++++=2020
to ^to++++=to
2023 ^cd++++=2023
is ^vbz+bez+aux++=is
exhibiting ^vbg+++xvbgx+=exhibiting
a ^at++++=a
similar ^jj+atrb+++=similar
trend ^nn++++=trend
to ^in++++=to
that ^dt+dem+++=that
of ^in++++=of
2003 ^cd++++=2003
to ^to++++=to
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
renewed ^jj+atrb++xvbn+=renewed
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
subject ^nn++++=subject
within ^in++++=within
the ^ati++++=the
scientific ^jj+atrb+++=scientific
community ^nn++++=community.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
topic ^nn++++=topic
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
yet ^rb++++=yet
reached ^vprf+++xvbn+=reached
a ^at++++=a
saturation ^nn++++=saturation
point ^nn++++=point
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
research ^nn++++=research
activity ^nn++++=activity.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
decline ^nn++++=decline
or ^cc++++=or
replacement ^nn++++=replacement
of ^in++++=of
scientific ^jj+atrb+++=scientific
knowledge ^nn++++=knowledge
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
remains ^nns++++=remains
low ^jj++++=low,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
evidence ^nn++++=evidence
of ^in++++=of
significant ^jj+atrb+++=significant
aging ^nn+++??+=aging
or ^cc++++=or
obsolescence ^nn++++=obsolescence,
, ^zz++++=EXTRAWORD
as ^ql++++=as
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
reduction ^nn++++=reduction
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
in ^in++++=in
citations ^nns++++=citations
or ^cc++++=or
the ^ati++++=the
relevance ^nn++++=relevance
of ^in++++=of
the ^ati++++=the
information ^nn++++=information.
. ^zz++++=EXTRAWORD
