Following ^jj+++xvbg+=Following
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^np++++=Organization's
's ^$++++=EXTRAWORD
declaration ^nn++++=declaration
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn++++=University
of ^in++++=of
Para ^nn++++=Para
ba ^jj+++??+=ba
suspended ^jj+++xvbn+=suspended
all ^abn++++=all
in ^in++++=in-person
- ^zz++++=EXTRAWORD
person ^nn++++=EXTRAWORD
teaching ^vwbg+++xvbg+=teaching,
, ^zz++++=EXTRAWORD
research ^nn++++=research,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
service ^nn++++=service
activities ^nns++++=activities.
. ^zz++++=EXTRAWORD
In ^in++++=In
preparation ^nn++++=preparation
for ^in++++=for
the ^ati++++=the
resumption ^nn++++=resumption
of ^in++++=of
academic ^jj+atrb+++=academic
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
the ^ati++++=the
university ^npl++++=university
recommended ^vbd+vsua++xvbn+=recommended
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
information ^nn++++=information
and ^cc++++=and
communications ^nns++++=communications
technology ^nn++++=technology
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
resources ^nns++++=resources
to ^to++++=to
facilitate ^vbi++++=facilitate
distance ^nn++++=distance
learning ^vwbg+++xvbg+=learning,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
into ^in++++=into
account ^nn++++=account
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
student ^nn++++=student
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
internet ^nn+++??+=internet
and ^cc++++=and
computers ^nns++++=computers,
, ^zz++++=EXTRAWORD
teacher ^nn++++=teacher
training ^nn++++=training
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Icts ^np+++??+=ICTs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
or ^cc+phrs+++=or
practical ^jj+atrb+++=practical
nature ^nn++++=nature
of ^in++++=of
curricular ^nn+++??+=curricular
components ^nns++++=components.
. ^zz++++=EXTRAWORD
Remote ^jj+atrb+++=Remote
instruction ^nn++++=instruction
for ^in++++=for
theoretical ^jj+atrb+++=theoretical
curricular ^nn+++??+=curricular
components ^nns++++=components
was ^vbd+bedz+aux++=was
implemented ^vpsv++agls+xvbnx+=implemented
across ^in+pl+++=across
all ^abn++++=all
undergraduate ^nn++++=undergraduate
programs ^nns+++??+=programs;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
courses ^nns++++=courses
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
part ^nn++++=part
of ^in++++=of
a ^at++++=a
supplementary ^jj+atrb+++=supplementary
semester ^nn+++??+=semester.
. ^zz++++=EXTRAWORD
Assessments ^nns++++=Assessments
were ^vbd+bed+aux++=were
administered ^vpsv++agls+xvbnx+=administered
online ^nn+++??+=online
in ^in++++=in
various ^jj+atrb+++=various
formats ^nns++++=formats,
, ^zz++++=EXTRAWORD
including ^in++++=including
quizzes ^nns+++??+=quizzes,
, ^zz++++=EXTRAWORD
essays ^nns++++=essays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
video ^jj+atrb++??+=video
production ^nn++++=production.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
the ^ati++++=the
return ^nn++++=return
to ^in++++=to
in ^in++++=in-person
- ^zz++++=EXTRAWORD
person ^nn++++=EXTRAWORD
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
recognition ^nn++++=recognition
of ^in++++=of
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
some ^dti++++=some
students ^nns++++=students
lack ^nn++++=lack
adequate ^jj+atrb+++=adequate
socioeconomic ^nn+++??+=socioeconomic
resources ^nns++++=resources
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Icts ^np+++??+=ICTs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
university ^npl++++=university
mandated ^nn+++??+=mandated
that ^tht+rel+++=that
curricular ^nn+++??+=curricular
components ^nns++++=components
previously ^rb+tm+++=previously
offered ^vbd+++xvbn+=offered
online ^nn+++??+=online
be ^vb+be+aux++=be
made ^vprf+++xvbn+=made
available ^jj++++=available
again ^rb+tm+++=again
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom
setting ^nn++++=setting.
. ^zz++++=EXTRAWORD
