When ^wrb+who+++=When
a ^at++++=a
kissing ^jj+atrb++xvbg+=kissing
bug ^nn++++=bug
approaches ^nns++++=approaches
a ^at++++=a
host ^nn++++=host
to ^to++++=to
feed ^vbi++++=feed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
exhibits ^vbz++++=exhibits
a ^at++++=a
highly ^rb+amp+++=highly
stereotyped ^jj+atrb+++=stereotyped
behavioral ^jj+atrb+++=behavioral
sequence ^nn++++=sequence
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
a ^at++++=a
fixed ^jj+atrb++xvbn+=fixed
action ^nn++++=action
pattern ^nn++++=pattern
( ^zz++++=(FAP),
fap ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
relatively ^rb++++=relatively
consistent ^jj+pred+++=consistent
within ^in++++=within
Triatominae ^np+++??+=Triatominae
and ^cc++++=and
more ^rbr++++=more
broadly ^rb+down+++=broadly
within ^in++++=within
Heteroptera ^np+++??+=Heteroptera.
. ^zz++++=EXTRAWORD
According ^in++++=According
to ^to++++=to
P ^zz++++=P
ez ^nn+++??+=ez-Rond
- ^zz++++=EXTRAWORD
rond ^nn+++??+=EXTRAWORD
n ^zz++++=n
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
various ^jj+atrb+++=various
stimuli ^nns++++=stimuli
including ^in++++=including
thermal ^jj++++=thermal,
, ^zz++++=EXTRAWORD
chemical ^jj++++=chemical,
, ^zz++++=EXTRAWORD
visual ^jj++++=visual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
olfactory ^nn+++??+=olfactory
cues ^nns+++??+=cues
are ^vb+ber+vrb++=are
sufficient ^jj+pred+++=sufficient
to ^to+jcmp+++=to
initiate ^vbi++++=initiate
the ^ati++++=the
Fap ^np+++??+=FAP
associated ^vbd+++xvbn+=associated
with ^in++++=with
triatomine ^nn+++??+=triatomine
feeding ^vwbg+++xvbg+=feeding.
. ^zz++++=EXTRAWORD
The ^ati++++=The
behavioral ^jj+atrb+++=behavioral
sequence ^nn++++=sequence
described ^vwbn+++xvbn+=described
by ^in++++=by
these ^dt+dem+++=these
authors ^nns++++=authors
begins ^vbz++++=begins
with ^in++++=with
orientation ^nn++++=orientation
toward ^in++++=toward
an ^at++++=an
object ^nn++++=object,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
