Within ^in++++=Within
the ^ati++++=the
Network ^nn++++=Network,
, ^zz++++=EXTRAWORD
efforts ^nns++++=efforts
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
advance ^vb++++=advance
discussions ^nns++++=discussions
concerning ^in++++=concerning
official ^jj+atrb+++=official
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health
documents ^nns++++=documents
related ^vbd+++xvbn+=related
to ^in++++=to
abortion ^nn++++=abortion
provision ^nn++++=provision.
. ^zz++++=EXTRAWORD
Concurrently ^np+++??+=Concurrently,
, ^zz++++=EXTRAWORD
training ^nn++++=training
sessions ^nns++++=sessions
led ^vwbn+++xvbn+=led
by ^in++++=by
lawyers ^nns++++=lawyers
disseminated ^vwbn+++xvbn+=disseminated
knowledge ^nn++++=knowledge
about ^in++++=about
alternative ^jj+atrb+++=alternative
interpretations ^nns++++=interpretations
of ^in++++=of
criminal ^jj+atrb+++=criminal
law ^nn++++=law,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
information ^nn++++=information
on ^in++++=on
successful ^jj+atrb+++=successful
public ^jj+atrb+++=public
health ^nn++++=health
system ^nn++++=system
practices ^nns++++=practices
from ^in++++=from
other ^ap++++=other
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
Colombia ^np+++??+=Colombia
and ^cc++++=and
Spain ^np++++=Spain.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
process ^nn++++=process
was ^vbd+bedz+aux++=was
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
interdisciplinary ^nn+++??+=interdisciplinary
collaboration ^nn++++=collaboration,
, ^zz++++=EXTRAWORD
including ^in++++=including
meetings ^nns++++=meetings
with ^in++++=with
lawyers ^nns++++=lawyers
and ^cc++++=and
other ^ap++++=other
legal ^jj+atrb+++=legal
professionals ^nns++++=professionals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
contributions ^nns++++=contributions
of ^in++++=of
feminist ^nn+++??+=feminist
women ^nns++++=women
lawyers ^nns++++=lawyers
were ^vbd+bed+vrb++=were
particularly ^rb++++=particularly
notable ^jj+pred+++=notable,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
organized ^vbd+++xvbnx+=organized
to ^in++++=to
challenge ^nn++++=challenge
the ^ati++++=the
dominance ^nn++++=dominance
of ^in++++=of
conservative ^jj+atrb+++=conservative
perspectives ^nns++++=perspectives
within ^in++++=within
the ^ati++++=the
legal ^jj+atrb+++=legal
field ^nn++++=field,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
debates ^nns++++=debates
concerning ^in++++=concerning
sexual ^jj+atrb+++=sexual
and ^cc+phrs+++=and
reproductive ^jj+atrb+++=reproductive
rights ^nns++++=rights.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dissemination ^nn+++??+=dissemination
of ^in++++=of
information ^nn++++=information
regarding ^in++++=regarding
legal ^jj+atrb+++=legal
frameworks ^nns++++=frameworks
and ^cc++++=and
institutional ^jj+atrb+++=institutional
protocols ^nns++++=protocols
enabled ^vbd+++xvbn+=enabled
Network ^nn++++=Network
members ^nns++++=members
to ^to++++=to
enhance ^vbi++++=enhance
their ^pp$+pp3+++=their
professional ^jj+atrb+++=professional
practice ^nn++++=practice
related ^vbd+++xvbn+=related
to ^in++++=to
abortion ^nn++++=abortion,
, ^zz++++=EXTRAWORD
utilizing ^nn+++??+=utilizing
resources ^nns++++=resources
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
the ^ati++++=the
State ^nn++++=State.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
activities ^nns++++=activities
illustrate ^vb++++=illustrate
the ^ati++++=the
benefits ^nns++++=benefits
of ^in++++=of
participating ^nn++++=participating
in ^in++++=in
a ^at++++=a
professional ^jj+atrb+++=professional
environment ^nn++++=environment
that ^tht+rel+obj++=that
facilitates ^nns++++=facilitates
ongoing ^nn++++=ongoing
training ^nn++++=training
and ^cc++++=and
development ^nn++++=development.
. ^zz++++=EXTRAWORD
