Mortality ^nn++++=Mortality
data ^nns++++=data
related ^vbd+++xvbn+=related
to ^in++++=to
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
territorial ^jj+atrb+++=territorial
level ^nn++++=level
are ^vb+ber+vrb++=are
essential ^nn++++=essential
for ^in++++=for
evaluating ^nn+++??+=evaluating
the ^ati++++=the
severity ^nn++++=severity
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
and ^cc++++=and
can ^md+pos+++=can
also ^rb++splt++=also
serve ^vb++++=serve
as ^in++++=as
an ^at++++=an
indirect ^jj+atrb+++=indirect
indicator ^nn++++=indicator
of ^in++++=of
the ^ati++++=the
cumulative ^jj+atrb+++=cumulative
number ^nn++++=number
of ^in++++=of
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
such ^abl++++=such
data ^nns++++=data
facilitate ^vb++++=facilitate
the ^ati++++=the
assessment ^nn++++=assessment
of ^in++++=of
the ^ati++++=the
quality ^nn++++=quality
of ^in++++=of
healthcare ^nn+++??+=healthcare
services ^nns++++=services
provided ^vbd+vsua++xvbn+=provided,
, ^zz++++=EXTRAWORD
encompassing ^nn+++??+=encompassing
prevention ^nn++++=prevention,
, ^zz++++=EXTRAWORD
diagnosis ^nn++++=diagnosis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
treatment ^nn++++=treatment
of ^in++++=of
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
data ^nns++++=data
are ^vb+ber+vrb++=are
valuable ^jj+pred+++=valuable
for ^in++++=for
informing ^xvbg+++xvbg+=informing
the ^ati++++=the
planning ^jj+++xvbg+=planning
and ^cc++++=and
implementation ^nn++++=implementation
of ^in++++=of
strategic ^nn++++=strategic
measures ^vbz++++=measures
aimed ^vwbn+++xvbn+=aimed
at ^rb++++=at
interrupting ^vbg+++xvbg+=interrupting
the ^ati++++=the
transmission ^nn++++=transmission
cycle ^nn++++=cycle
of ^in++++=of
the ^ati++++=the
pathogen ^nn++++=pathogen.
. ^zz++++=EXTRAWORD
