Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Dutra ^np+++??+=Dutra
et ^&fw++++=et
al.22 ^vb+++??+=al.22
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
in ^in++++=in
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
State ^nn++++=State,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
from ^in++++=from
1998 ^cd+date+++=1998
to ^to++++=to
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
observed ^vbd+vprv++xvbn+=observed
an ^at++++=an
increasing ^jj+atrb++xvbg+=increasing
trend ^nn++++=trend
in ^in++++=in
disease ^nn++++=disease
rates ^nns++++=rates
during ^in++++=during
the ^ati++++=the
rainy ^jj+atrb+++=rainy
months ^nns++++=months.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
Pereira ^np+++??+=Pereira
et ^&fw++++=et
al.19 ^nn+++??+=al.19,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
analyzed ^vb+++??+=analyzed
the ^ati++++=the
trend ^nn++++=trend
and ^cc++++=and
seasonality ^nn+++??+=seasonality
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
in ^in++++=in
Brazil ^np++++=Brazil
from ^in++++=from
2008 ^cd++++=2008
to ^to++++=to
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
detect ^vb++++=detect
overall ^jjb+atrb+++=overall
growth ^nn++++=growth
in ^in++++=in
disease ^nn++++=disease
incidence ^nn++++=incidence
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
seasonally ^vb+++??+=seasonally
adjusted ^vbd+++xvbn+=adjusted
time ^nn++++=time
series ^nn++++=series
analysis ^nn++++=analysis
indicated ^vbd+vprv++xvbn+=indicated
a ^at++++=a
strong ^jj+atrb+++=strong
temporal ^jj+atrb+++=temporal
relationship ^nn++++=relationship
and ^cc++++=and
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
a ^at++++=a
seasonal ^jj+atrb+++=seasonal
component ^nn++++=component,
, ^zz++++=EXTRAWORD
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
surveillance ^nn++++=surveillance
and ^cc++++=and
case ^nn++++=case
detection ^nn++++=detection
during ^in++++=during
rainy ^jj+atrb+++=rainy
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Buzzar23 ^np+++??+=Buzzar23,
, ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
epidemiological ^nn+++??+=epidemiological
profile ^nn++++=profile
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
from ^in++++=from
2007 ^cd++++=2007
to ^to++++=to
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
reported ^nn+++xvbn+=reported
that ^tht+ncmp+++=that
the ^ati++++=the
disease ^nn++++=disease
was ^vbd+bedz+aux++=was
present ^vb++++=present
in ^in++++=in
all ^rb++++=all
28 ^cd++++=28
epidemiological ^nn+++??+=epidemiological
surveillance ^nn++++=surveillance
groups ^nns++++=groups
throughout ^in++++=throughout
the ^ati++++=the
year ^nn++++=year,
, ^zz++++=EXTRAWORD
with ^in++++=with
clear ^jj+atrb+++=clear
evidence ^nn++++=evidence
of ^in++++=of
seasonality ^nn+++??+=seasonality,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
