Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
documented ^vprf+++xvbnx+=documented
the ^ati++++=the
high ^jj+atrb+++=high
frequency ^nn++++=frequency
of ^in++++=of
T ^zz++++=T.
. ^zz++++=EXTRAWORD
monosporus ^nns+++??+=monosporus
( ^zz++++=(Schoenlein-Crusius
schoenlein ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
& ^zz++++=&
Martin ^np++++=Martin
1990 ^cd+date+++=1990;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1992a ^cd++++=1992a;
; ^zz++++=EXTRAWORD
Pires ^np+++??+=Pires-Zottarelli
- ^zz++++=EXTRAWORD
zottarelli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
& ^zz++++=&
Martin ^np++++=Martin
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Malosso ^np+++??+=Malosso
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014)
) ^zz++++=EXTRAWORD
and ^cc++++=and
L ^zz++++=L.
. ^zz++++=EXTRAWORD
curvula ^nn+++??+=curvula
( ^zz++++=(Schoenlein-Crusius
schoenlein ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
& ^zz++++=&
Milanez ^np+++??+=Milanez
1990 ^cd+date+++=1990;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1992 ^cd+date+++=1992;
; ^zz++++=EXTRAWORD
Malosso ^np+++??+=Malosso
1995 ^cd+date+++=1995;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
& ^zz++++=&
Milanez ^np+++??+=Milanez
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Malosso ^np+++??+=Malosso
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
camelopardus ^nns+++??+=camelopardus
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
less ^rbr++++=less
frequently ^rb+cnj+++=frequently,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
occurrence ^nn++++=occurrence
documented ^vpsv++agls+xvbn+=documented
at ^in++++=at
the ^ati++++=the
guarapiranga ^np++++=Guarapiranga
dam ^nn++++=dam
by ^in++++=by
malosso ^np++++=Malosso
( ^zz++++=(1999).
1999 ^cd+date+++=EXTRAWORD
). ^nn++++=EXTRAWORD
