Among ^in++++=Among
the ^ati++++=the
total ^jj+atrb+++=total
mycota ^nn+++??+=mycota,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
occurring ^vbg+++xvbg+=occurring
species ^nns++++=species
were ^vbd+bed+vrb++=were
Triscelophorus ^np+++??+=Triscelophorus
monosporus ^nns+++??+=monosporus
( ^zz++++=(80%),
80% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lunulospora ^np+++??+=Lunulospora
curvula ^nn+++??+=curvula
( ^zz++++=(73.3%),
73.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tripospermum ^np+++??+=Tripospermum
camelopardus ^nns+++??+=camelopardus
( ^zz++++=(66.6%),
66.6% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbn+=classified
as ^ql++++=as
constant ^jj+atrb+++=constant
species ^nns++++=species
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
