Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
formation ^nn++++=formation
of ^in++++=of
the ^ati++++=the
Network ^nn++++=Network
resulted ^vbd+++xvbn+=resulted
from ^in++++=from
the ^ati++++=the
efforts ^nns++++=efforts
of ^in++++=of
civil ^jj+atrb+++=civil
society ^nn++++=society
and ^cc++++=and
women ^nns++++=women's
's ^$++++=EXTRAWORD
organizations ^nns++++=organizations
that ^tht+rel+subj++=that
maintained ^vprf+++xvbn+=maintained
a ^at++++=a
significant ^jj+atrb+++=significant
territorial ^jj+atrb+++=territorial
presence ^nn++++=presence
and ^cc++++=and
established ^vbn+vprv++xvbn+=established
collaborations ^nns+++??+=collaborations
with ^in++++=with
local ^jj+atrb+++=local
professionals ^nns++++=professionals.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
Catholics ^nns++++=Catholics
for ^in++++=for
the ^ati++++=the
Right ^nn++++=Right
to ^to+ncmp+++=to
Decide ^vbi+vprv+++=Decide
was ^vbd+bedz+vrb++=was
among ^in++++=among
these ^dt+dem+++=these
organizations ^nns++++=organizations,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
engaged ^vbd+++xvbn+=engaged
in ^in++++=in
educational ^jj++++=educational
and ^cc++++=and
awareness ^nn++++=awareness-raising
- ^zz++++=EXTRAWORD
raising ^jj+atrb++xvbg+=EXTRAWORD
activities ^nns++++=activities
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
decade ^nn++++=decade
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
establishment ^nn++++=establishment
of ^in++++=of
the ^ati++++=the
network ^nn++++=Network.
. ^zz++++=EXTRAWORD
