Hospitalized ^np+++??+=Hospitalized
and ^cc++++=and
critically ^rb++++=critically
ill ^jj+atrb+++=ill
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
frequently ^rb++++=frequently
exhibit ^vb++++=exhibit
hematological ^nn+++??+=hematological
alterations ^nns++++=alterations,
, ^zz++++=EXTRAWORD
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
elevated ^vbd+++xvbn+=elevated
D ^zz++++=D-dimer
- ^zz++++=EXTRAWORD
dimer ^nn+++??+=EXTRAWORD
( ^zz++++=(DD)
dd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
association ^nn++++=association
between ^in++++=between
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
and ^cc++++=and
coagulation ^nn+++??+=coagulation
mechanisms ^nns++++=mechanisms
remains ^nns++++=remains
insufficiently ^rb++++=insufficiently
characterized ^nn+++??+=characterized
in ^in++++=in
recent ^jj+atrb+++=recent
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
Han ^np++++=Han
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
demonstrated ^vb+++xvbn+=demonstrated
that ^tht+vcmp+++=that
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
had ^vbd+hvd+aux++=had
reduced ^vprf+++xvbnx+=reduced
levels ^nns++++=levels
of ^in++++=of
antithrombin ^nn+++??+=antithrombin,
, ^zz++++=EXTRAWORD
a ^at++++=a
natural ^jj+atrb+++=natural
anticoagulant ^nn++++=anticoagulant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increased ^jj+atrb++xvbn+=increased
concentrations ^nns++++=concentrations
of ^in++++=of
Dd ^np+++??+=DD
and ^cc++++=and
other ^ap++++=other
fibrin ^nn+++??+=fibrin
degradation ^nn++++=degradation
products ^nns++++=products
( ^zz++++=(FDP)
fdp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
healthy ^jj+atrb+++=healthy
controls ^nns++++=controls.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
blood ^nn++++=blood
coagulation ^nn+++??+=coagulation
is ^vbz+bez+aux++=is
altered ^vpsv++agls+xvbnx+=altered
in ^in++++=in
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
Fdps ^np+++??+=FDPs,
, ^zz++++=EXTRAWORD
including ^in++++=including
Dd ^np+++??+=DD,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
serve ^vb++++=serve
as ^ql++++=as
predictors ^nns++++=predictors
of ^in++++=of
disease ^nn++++=disease
progression ^nn++++=progression.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
routine ^jj++++=routine
monitoring ^jj+++xvbg+=monitoring
of ^in++++=of
these ^dt+dem+++=these
markers ^nns++++=markers
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
results ^nns++++=results
reported ^vwbn+vpub++xvbn+=reported
by ^in++++=by
Tang ^np+++??+=Tang,
, ^zz++++=EXTRAWORD
Li ^np+++??+=Li,
, ^zz++++=EXTRAWORD
Wang ^np+++??+=Wang,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sun ^nn++++=Sun.
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
presumed ^jj+atrb++xvbn+=presumed
prothrombotic ^nn+++??+=prothrombotic
state ^vb+vpub+++=state
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
many ^ap++++=many
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
substantial ^jj+atrb+++=substantial
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
demand ^nn++++=demand
for ^in++++=for
laboratory ^nn++++=laboratory
tests ^nns++++=tests
assessing ^vwbg+++xvbg+=assessing
coagulation ^nn+++??+=coagulation
parameters ^nns++++=parameters,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
for ^in++++=for
vascular ^nn+++??+=vascular
ultrasound ^nn+++??+=ultrasound
and ^cc++++=and
other ^ap++++=other
imaging ^nn+++??+=imaging
modalities ^nns+++??+=modalities
in ^in++++=in
individuals ^nns++++=individuals
testing ^vwbg+++xvbg+=testing
positive ^jj++++=positive
for ^in++++=for
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
compile ^vbi++++=compile
information ^nn++++=information
regarding ^in++++=regarding
the ^ati++++=the
routine ^nn++++=routine
practices ^nns++++=practices
of ^in++++=of
vascular ^nn+++??+=vascular
specialists ^nns++++=specialists
and ^cc++++=and
reference ^nn++++=reference
centers ^nns+++??+=centers
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
search ^nn++++=search
terms ^nns++++=terms
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used:
: ^zz++++=EXTRAWORD
Coronavirus ^np+++??+=Coronavirus
and ^cc++++=and
venous ^nns+++??+=venous
thrombosis ^nn++++=thrombosis,
, ^zz++++=EXTRAWORD
Coronavirus ^np+++??+=Coronavirus
and ^cc++++=and
thrombosis ^nn++++=thrombosis,
, ^zz++++=EXTRAWORD
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
and ^cc++++=and
venous ^nns+++??+=venous
thrombosis ^nn++++=thrombosis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
coronavirus ^np++++=Coronavirus
and ^cc++++=and
thrombosis ^nn++++=thrombosis.
. ^zz++++=EXTRAWORD
