During ^in++++=During
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
alternatives ^nns++++=alternatives
to ^in++++=to
traditional ^jj+atrb+++=traditional
classroom ^nn++++=classroom
education ^nn++++=education,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
distance ^nn++++=distance
teaching ^vwbg+++xvbg+=teaching
and ^cc++++=and
remote ^jj+atrb+++=remote
monitoring ^nvbg+++xvbg+=monitoring,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
implemented ^vpsv++agls+xvbnx+=implemented
to ^to++++=to
mitigate ^vbi++++=mitigate
the ^ati++++=the
potential ^jj+atrb+++=potential
negative ^jj+atrb+++=negative
effects ^nns++++=effects
on ^in++++=on
cognitive ^nn+++??+=cognitive
development ^nn++++=development
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
the ^ati++++=the
interruption ^nn++++=interruption
of ^in++++=of
regular ^jj+atrb+++=regular
school ^nn++++=school
instruction ^nn++++=instruction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
roles ^nns++++=roles
of ^in++++=of
schools ^nns++++=schools
in ^in++++=in
providing ^xvbg+++xvbg+=providing
care ^nn++++=care
and ^cc++++=and
facilitating ^vbg+++xvbg+=facilitating
socialization ^nn+++??+=socialization
are ^vb+ber+vrb++=are
significant ^jj+pred+++=significant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
school ^nn++++=school
closures ^nns++++=closures
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
a ^at++++=a
substantial ^jj+atrb+++=substantial
impact ^nn++++=impact
on ^in++++=on
these ^dt+dem+++=these
functions ^nns++++=functions.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
requirements ^nns++++=requirements
complicate ^nn+++??+=complicate
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
measures ^nn++++=measures
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
mitigating ^vbg+++xvbg+=mitigating
these ^dt+dem+++=these
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
school ^nn++++=school
food ^nn++++=food
provision ^nn++++=provision
has ^vbz+hvz+aux++=has
emerged ^vprf+++xvbnx+=emerged
as ^ql++++=as
a ^at++++=a
relevant ^jj+atrb+++=relevant
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
evaluate ^vbi++++=evaluate
whether ^cs+who+++=whether
the ^ati++++=the
measures ^nn++++=measures
adopted ^vbd+++xvbn+=adopted
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
adequately ^rb++++=adequately
address ^vb++++=address
the ^ati++++=the
urgency ^nn++++=urgency
of ^in++++=of
the ^ati++++=the
problem ^nn++++=problem.
. ^zz++++=EXTRAWORD
