Teriflunomide ^np+++??+=Teriflunomide
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
lymphopenia ^nn+++??+=lymphopenia;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
a ^at++++=a
pooled ^jj+atrb++xvbn+=pooled
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
Temso ^np+++??+=TEMSO,
, ^zz++++=EXTRAWORD
Tower ^nn++++=TOWER,
, ^zz++++=EXTRAWORD
Topic ^nn++++=TOPIC,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tenere ^np+++??+=TENERE
studies ^nns++++=studies
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
low ^jj++++=low-grade
- ^zz++++=EXTRAWORD
grade ^nn++++=EXTRAWORD
( ^zz++++=(Grade
grade ^nn++++=EXTRAWORD
1 ^zz++++=1
or ^cc++++=or
Grade ^nn++++=Grade
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
lymphopenia ^nn+++??+=lymphopenia
was ^vbd+bedz+vrb++=was
infrequent ^jj+pred+++=infrequent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
cases ^nns++++=cases
of ^in++++=of
high ^jj++++=high-grade
- ^zz++++=EXTRAWORD
grade ^nn++++=EXTRAWORD
( ^zz++++=(Grade
grade ^nn++++=EXTRAWORD
3 ^zz++++=3
or ^cc++++=or
Grade ^nn++++=Grade
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
lymphopenia ^nn+++??+=lymphopenia
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
infection ^nn++++=infection
rates ^nns++++=rates
among ^in++++=among
patients ^nns++++=patients
receiving ^vwbg+++xvbg+=receiving
teriflunomide ^nn+++??+=teriflunomide
were ^vbd+bed+vrb++=were
comparable ^jj+pred+++=comparable
between ^in++++=between
those ^dt+dem+++=those
with ^in++++=with
and ^cc++++=and
without ^in++++=without
low ^jj++++=low-grade
- ^zz++++=EXTRAWORD
grade ^nn++++=EXTRAWORD
lymphopenia ^nn+++??+=lymphopenia.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^to++++=to
perform ^vbi++++=perform
a ^at++++=a
complete ^jj+atrb+++=complete
blood ^nn++++=blood
count ^vb++++=count
( ^zz++++=(CBC)
cbc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
three ^cd++++=three
months ^nns++++=months
after ^in++++=after
initiating ^jj+atrb+++=initiating
teriflunomide ^nn++++=teriflunomide
treatment ^nn++++=treatment
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
every ^at++++=every
six ^cd++++=six
months ^nns++++=months.
. ^zz++++=EXTRAWORD
