Consultations ^nns++++=Consultations
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
chronic ^jj+atrb+++=chronic
conditions ^nns++++=conditions
were ^vbd+bed+aux++=were
postponed ^vpsv++agls+xvbnx+=postponed,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
measures ^nns++++=measures
were ^vbd+bed+aux++=were
implemented ^vpsv++agls+xvbnx+=implemented
to ^to++++=to
ensure ^vbi+vprv+++=ensure
a ^at++++=a
continuous ^jj+atrb+++=continuous
supply ^nn++++=supply
of ^in++++=of
medications ^nns+++??+=medications,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
provision ^nn++++=provision
of ^in++++=of
a ^at++++=a
home ^nr++++=home
delivery ^nn++++=delivery
service ^nn++++=service.
. ^zz++++=EXTRAWORD
