Effective ^jj+atrb+++=Effective
monitoring ^jj+atrb++xvbg+=monitoring
strategies ^nns+++??+=strategies
are ^vb+ber+vrb++=are
essential ^nn++++=essential,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
family ^nn++++=family
health ^nn++++=health
agents ^nns++++=agents
could ^md+pos+++=could
support ^vb++++=support
government ^nn++++=government
efforts ^nns++++=efforts
by ^in++++=by
utilizing ^nn+++??+=utilizing
telemedicine ^nn+++??+=telemedicine-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
approaches ^nns++++=approaches
based ^vwbn+++xvbn+=based
on ^in++++=on
data ^nns++++=data
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
relevant ^jj+atrb+++=relevant
authorities ^nns++++=authorities.
. ^zz++++=EXTRAWORD
To ^to++++=To
enhance ^vbi++++=enhance
transparency ^nn++++=transparency
in ^in++++=in
the ^ati++++=the
allocation ^nn++++=allocation
of ^in++++=of
public ^jj+atrb+++=public
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
conduct ^vbi++++=conduct
research ^nn++++=research
on ^in++++=on
conditions ^nns++++=conditions
across ^in+pl+++=across
different ^jj+atrb+++=different
regions ^nns++++=regions
of ^in++++=of
Brazil ^np++++=Brazil
and ^cc++++=and
to ^to++++=to
employ ^vbi++++=employ
geographic ^nn+++??+=geographic
intelligence ^nn++++=intelligence
tools ^nns++++=tools
that ^tht+rel+subj++=that
enable ^vb++++=enable
spatial ^jj+atrb+++=spatial
monitoring ^nvbg+++xvbg+=monitoring,
, ^zz++++=EXTRAWORD
integrated ^xvbn+++xvbn+=integrated
with ^in++++=with
active ^jj+atrb+++=active
surveillance ^nn++++=surveillance
mechanisms ^nns++++=mechanisms,
, ^zz++++=EXTRAWORD
within ^in++++=within
a ^at++++=a
framework ^nn++++=framework
of ^in++++=of
participatory ^nn+++??+=participatory
oversight ^nn++++=oversight
of ^in++++=of
public ^jj+atrb+++=public
funds ^nns++++=funds.
. ^zz++++=EXTRAWORD
Information ^nn++++=Information
collection ^nn++++=collection
platforms ^nns++++=platforms
should ^md+nec+++=should
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^to++++=to
assess ^vb++++=assess
whether ^cs+who+++=whether
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
benefits ^nns++++=benefits
to ^in++++=to
families ^nns++++=families
is ^vbz+bez+vrb++=is
effective ^jj+pred+++=effective
and ^cc+cls+++=and
whether ^cs+who+++=whether
children ^nns++++=children
are ^vb+ber+aux++=are
receiving ^vbg+++xvbgx+=receiving
the ^ati++++=the
food ^nn++++=food
stipulated ^nn+++??+=stipulated
by ^in++++=by
law ^nn++++=law
and ^cc++++=and
the ^ati++++=the
National ^jj+atrb+++=National
School ^nn++++=School
Feeding ^vwbg+++xvbg+=Feeding
Program ^np+++??+=Program
( ^zz++++=(PNAE);
pnae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
types ^nns++++=types
of ^in++++=of
food ^nn++++=food
consumed ^vwbn+++xvbn+=consumed
by ^in++++=by
children ^nns++++=children
and ^cc++++=and
adolescents ^nns++++=adolescents
and ^cc++++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
daily ^jj+atrb+++=daily
meals ^nns++++=meals,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
assistance ^nn++++=assistance
of ^in++++=of
family ^nn++++=family
health ^nn++++=health
agents ^nns++++=agents;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
provide ^vbi+vsua+++=provide
the ^ati++++=the
government ^nn++++=government
with ^in++++=with
the ^ati++++=the
information ^nn++++=information
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
develop ^vbi++++=develop
strategies ^nns+++??+=strategies
for ^in++++=for
monitoring ^xvbg+++xvbg+=monitoring
and ^cc++++=and
supporting ^xvbg+++xvbg+=supporting
the ^ati++++=the
dietary ^jj+atrb+++=dietary
needs ^nns++++=needs
of ^in++++=of
children ^nns++++=children
and ^cc++++=and
adolescents ^nns++++=adolescents
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
