As ^in++++=As
a ^at++++=a
result ^nn++++=result
of ^in++++=of
a ^at++++=a
collaboration ^nn++++=collaboration
among ^in++++=among
Brazilian ^jj+atrb+++=Brazilian
and ^cc+phrs+++=and
international ^jj+atrb+++=international
researchers ^nns+++??+=researchers
interested ^jj++++=interested
in ^in++++=in
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
effects ^nns++++=effects
and ^cc++++=and
various ^jj++++=various
psychological ^jj++++=psychological
states ^vbz+vpub+++=states
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
rapid ^jj+atrb+++=rapid
global ^jj+atrb+++=global
spread ^nn+++xvbn+=spread
of ^in++++=of
Covid ^np+++??+=Covid-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
research ^nn++++=research
project ^vb++++=project
entitled ^vbd+++xvbn+=entitled
Physical ^jj++++=Physical,
, ^zz++++=EXTRAWORD
Psychological ^jj++++=Psychological,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Cognitive ^np+++??+=Cognitive
Reactions ^nns++++=Reactions
to ^in++++=to
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
approved ^vpsv++by+xvbn+=approved
by ^in++++=by
the ^ati++++=the
Research ^nn++++=Research
Ethics ^nn++++=Ethics
Committee ^nn++++=Committee
( ^zz++++=(CEP)
cep ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn++++=University
of ^in++++=of
Alfenas ^np+++??+=Alfenas
( ^zz++++=(UNIFAL-MG)
unifal ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
mg ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(process
process ^nn++++=EXTRAWORD
number ^nn++++=number:
: ^zz++++=EXTRAWORD
4.128.627 ^cd++++=4.128.627).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
project ^nn++++=project
is ^vbz+bez+aux++=is
organized ^vpsv++agls+xvbnx+=organized
into ^in++++=into
six ^cd++++=six
modules ^nns+++??+=modules,
, ^zz++++=EXTRAWORD
each ^dt++++=each
designed ^vb+++xvbn+=designed
to ^to+vcmp+++=to
assess ^vbi++++=assess
a ^at++++=a
specific ^jj+atrb+++=specific
dimension ^nn++++=dimension
of ^in++++=of
psychological ^nn++++=psychological
states ^vbz+vpub+++=states
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic:
: ^zz++++=EXTRAWORD
psychological ^jj+atrb+++=psychological
reactions ^nns++++=reactions
to ^in++++=to
pandemics ^nns+++??+=pandemics;
; ^zz++++=EXTRAWORD
psychological ^jj+atrb+++=psychological
vulnerability ^nn+++??+=vulnerability
factors ^nns++++=factors;
; ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
isolation ^nn++++=isolation;
; ^zz++++=EXTRAWORD
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
the ^ati++++=the
media ^nn++++=media
and ^cc++++=and
the ^ati++++=the
dissemination ^nn+++??+=dissemination
of ^in++++=of
information ^nn++++=information
about ^in++++=about
Covid ^np+++??+=Covid-19;
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
effective ^jj+atrb+++=effective
strategies ^nns+++??+=strategies
for ^in++++=for
addressing ^xvbg+++xvbg+=addressing
psychological ^jj+atrb+++=psychological
problems ^nns++++=problems;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
implications ^nns++++=implications
for ^in++++=for
public ^jj+atrb+++=public
health ^nn++++=health
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
including ^in++++=including
appropriate ^jj+atrb+++=appropriate
interventions ^nns++++=interventions
for ^in++++=for
risk ^nn++++=risk
communication ^nn++++=communication.
. ^zz++++=EXTRAWORD
