Data ^nns++++=Data
collection ^nn++++=collection
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
a ^at++++=a
survey ^vb++++=survey
comprising ^jj+++xvbg+=comprising
194 ^cd++++=194
questions ^nns++++=questions
organized ^vbd+++xvbn+=organized
into ^in++++=into
fifteen ^cd++++=fifteen
sections ^nns++++=sections,
, ^zz++++=EXTRAWORD
each ^dt++++=each
addressing ^jj+++xvbg+=addressing
various ^jj+atrb+++=various
cultural ^jj+atrb+++=cultural
habits ^nns++++=habits
and ^cc++++=and
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
39 ^cd++++=39
questions ^nns++++=questions
pertained ^nn+++??+=pertained
specifically ^rb++++=specifically
to ^in++++=to
information ^nn++++=information
and ^cc++++=and
communication ^nn++++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT)
ict ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
were ^vbd+bed+aux++=were
distributed ^vpsv++agls+xvbn+=distributed
across ^in+pl+++=across
all ^abn++++=all
sections ^nns++++=sections.
. ^zz++++=EXTRAWORD
