Just ^rb+emph+++=Just
as ^ql++++=as
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
healthcare ^nn+++??+=healthcare
providers ^nns+++??+=providers
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
conscientious ^jj+atrb+++=conscientious
objectors ^nns++++=objectors,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
also ^rb++++=also
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
perform ^vb++++=perform
abortions ^nns+++??+=abortions
and ^cc++++=and
provide ^vb+vsua+++=provide
related ^xvbn+++xvbn+=related
services ^nns++++=services
within ^in++++=within
a ^at++++=a
framework ^nn++++=framework
that ^tht+rel+obj++=that
prioritizes ^nns+++??+=prioritizes
women ^nns++++=women's
's ^vbz+bez+vrb++0=EXTRAWORD
sexual ^jj+atrb+++=sexual
and ^cc+phrs+++=and
reproductive ^jj+atrb+++=reproductive
rights ^nns++++=rights;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
distinction ^nn++++=distinction
should ^md+nec+++=should
be ^vb+be+aux++=be
recognized ^vpsv++agls+xvbnx+=recognized
( ^zz++++=(B.,
b ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
female ^nn++++=female,
, ^zz++++=EXTRAWORD
physician ^nn++++=physician.
. ^zz++++=EXTRAWORD
interview ^nn++++=Interview,
, ^zz++++=EXTRAWORD
buenos ^np++++=Buenos
aires ^np++++=Aires,
, ^zz++++=EXTRAWORD
september ^nr++++=September
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
