Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
To ^in++++=To
analyze ^nn+++??+=analyze
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
journals ^nns++++=journals
and ^cc++++=and
the ^ati++++=the
patterns ^nns++++=patterns
of ^in++++=of
scientific ^jj+atrb+++=scientific
collaboration ^nn++++=collaboration
related ^vbd+++xvbn+=related
to ^in++++=to
Severe ^jj+atrb+++=Severe
Acute ^jj+atrb+++=Acute
Respiratory ^jj+atrb+++=Respiratory
Syndrome ^np+++??+=Syndrome,
, ^zz++++=EXTRAWORD
as ^in++++=as
indexed ^nn++++=indexed
in ^in++++=in
the ^ati++++=the
web ^nn++++=Web
of ^in++++=of
science ^nn++++=Science
database ^nn++++=database.
. ^zz++++=EXTRAWORD
