Stakeholders ^np+++??+=Stakeholders
of ^in++++=of
Rbmfc ^np+++??+=RBMFC,
, ^zz++++=EXTRAWORD
a ^at++++=a
medical ^jj+atrb+++=medical
specialty ^nn+++??+=specialty
journal ^nn++++=journal
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
demonstrated ^jj+atrb++xvbn+=demonstrated
levels ^nns++++=levels
of ^in++++=of
support ^nn++++=support
for ^in++++=for
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review
comparable ^jj++++=comparable
to ^in++++=to
those ^dt+dem+++=those
reported ^jj+++xvbn+=reported
in ^in++++=in
a ^at++++=a
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
survey ^vb++++=survey
that ^dt+pdem+++=that
predominantly ^rb++++=predominantly
included ^vbd+++xvbn+=included
researchers ^nns+++??+=researchers
from ^in++++=from
the ^ati++++=the
Global ^jj+atrb+++=Global
North ^np+pl+++=North
and ^cc++++=and
the ^ati++++=the
natural ^jj+atrb+++=natural
sciences ^nns++++=sciences.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
previous ^nn++++=previous
survey ^vb++++=survey
may ^md+pos+++=may
be ^vb+be+vrb++=be
generalizable ^nn+++??+=generalizable
to ^in++++=to
additional ^jj+atrb+++=additional
contexts ^nns++++=contexts
and ^cc++++=and
support ^nn++++=support
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
further ^jjb+atrb+++=further
studies ^nns++++=studies
in ^in++++=in
the ^ati++++=the
arts ^nns++++=arts,
, ^zz++++=EXTRAWORD
humanities ^nns++++=humanities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
sciences ^nns++++=sciences,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
underrepresented ^nn+++??+=underrepresented
in ^in++++=in
the ^ati++++=the
earlier ^jjr+atrb+++=earlier
survey ^nn++++=survey
and ^cc++++=and
not ^xnot++not++=not
examined ^vpsv++agls+xvbn+=examined
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
