Xu ^np+++??+=Xu
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
[ ^zz++++=[37]
37 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
conducted ^vbd+++xvbn+=conducted
a ^at++++=a
study ^nn++++=study
involving ^vwbg+++xvbg+=involving
2,694 ^cd++++=2,694
children ^nns++++=children
and ^cc++++=and
adults ^nns++++=adults
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
no ^at++++=no
significant ^jj+atrb+++=significant
association ^nn++++=association
between ^in++++=between
low ^jj+atrb+++=low
serum ^nn++++=serum
concentrations ^nns++++=concentrations
of ^in++++=of
25(oh)d ^cd++++=25(OH)D
( ^zz++++=(<50
< ^zz++++=EXTRAWORD
50 ^cd++++=EXTRAWORD
nmol ^nn+++??+=nmol/L)
and ^cc++++=and
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
laboratory ^nn++++=laboratory-confirmed
- ^zz++++=EXTRAWORD
confirmed ^vprf+++xvbn+=EXTRAWORD
influenza ^nn++++=influenza
virus ^nn++++=virus
infection ^nn++++=infection
after ^in++++=after
adjusting ^nn++++=adjusting
for ^in++++=for
age ^nn++++=age,
, ^zz++++=EXTRAWORD
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vaccination ^nn++++=vaccination
history ^nn++++=history
( ^zz++++=(RR:
rr ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
1.15 ^cd++++=1.15;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
0.73 ^nn+++??+=0.73
1.83 ^cd++++=1.83;
; ^zz++++=EXTRAWORD
p=0.55 ^nn+++??+=p=0.55).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
did ^vbd+dod+aux++=did
identify ^vb++++=identify
a ^at++++=a
significant ^jj+atrb+++=significant
association ^nn++++=association
between ^in++++=between
low ^jj++++=low
25(oh)d ^cd++++=25(OH)D
levels ^nns++++=levels
and ^cc++++=and
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
influenza ^nn++++=influenza-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
as ^ql++++=as
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
fever ^nn++++=fever
( ^zz++++=(
37.8 ^cd++++=37.8
C ^zz++++=C)
) ^zz++++=EXTRAWORD
and ^cc++++=and
cough ^nn++++=cough
or ^cc++++=or
sore ^jj+atrb+++=sore
throat ^nn++++=throat
( ^zz++++=(RR:
rr ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
1.70 ^cd++++=1.70;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
ci ^np++++=CI:
: ^zz++++=EXTRAWORD
1.14 ^cd++++=1.14
2.51 ^cd++++=2.51;
; ^zz++++=EXTRAWORD
p=0.01 ^nn++++=p=0.01).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
