Taking ^vbg+++xvbg+=Taking
this ^dt+dem+++=this
into ^in++++=into
account ^nn++++=account,
, ^zz++++=EXTRAWORD
the ^ati++++=the
participants ^nns++++=participants
initially ^rb+tm+++=initially
chose ^vbd+++xvbn+=chose
not ^xnot++not++=not
to ^to++++=to
publicly ^rb++splt++=publicly
disclose ^vbi++++=disclose
the ^ati++++=the
abortion ^nn++++=abortion-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
counselling ^j++++=counselling
they ^pp3a+pp3+++=they
provided ^vbd+vsua++xvbnx+=provided
in ^in++++=in
their ^pp$+pp3+++=their
offices ^nns++++=offices,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
work ^nn++++=work
is ^vbz+bez+aux++=is
protected ^vpsv++by+xvbnx+=protected
by ^in++++=by
professional ^jj+atrb+++=professional
confidentiality ^nn+++??+=confidentiality.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
after ^in++++=after
joining ^xvbg+++xvbg+=joining
the ^ati++++=the
Network ^nn++++=Network,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
self ^nn++++=self-perception
- ^zz++++=EXTRAWORD
perception ^nn++++=EXTRAWORD
shifted ^vbd+++xvbn+=shifted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
no ^at++++=no
longer ^rbr++++=longer
viewed ^vbd+++xvbn+=viewed
themselves ^ppls+pp3+++=themselves
as ^in++++=as
discredited ^nn++++=discredited.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
recognized ^vbd+vprv++xvbnx+=recognized
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
actions ^nns++++=actions
did ^vbd+dod+aux++=did
not ^xnot++not++=not
violate ^vb+++??+=violate
any ^dti++++=any
regulations ^nns++++=regulations
and ^cc++++=and
emphasized ^vbd+vpub++xvbn+=emphasized
that ^tht+vcmp+++=that
joining ^jj+++xvbg+=joining
the ^ati++++=the
group ^nn++++=group
represented ^vbd+++xvbn+=represented
a ^at++++=a
significant ^jj+atrb+++=significant
transformation ^nn++++=transformation
in ^in++++=in
their ^pp$+pp3+++=their
professional ^jj+atrb+++=professional
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
