A ^at++++=A
proportional ^jj+atrb+++=proportional
stratified ^jj+atrb+++=stratified
sampling ^nn++++=sampling
method ^nn++++=method
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
select ^vb++++=select
the ^ati++++=the
population ^nn++++=population
of ^in++++=of
undergraduate ^nn++++=undergraduate
students ^nns++++=students
from ^in++++=from
the ^ati++++=the
five ^cd++++=five
academic ^jj+atrb+++=academic
programs ^nns+++??+=programs
at ^rb++++=at
the ^ati++++=the
National ^jj+atrb+++=National
University ^nn++++=University
of ^in++++=of
Education ^nn++++=Education
for ^in++++=for
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
September ^nr++++=September
to ^in++++=to
February ^nr++++=February
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
confidence ^nn++++=confidence
level ^nn++++=level
of ^in++++=of
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
margin ^nn++++=margin
of ^in++++=of
error ^nn++++=error
of ^in++++=of
5 ^zz++++=5%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
